"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005615","extracellular space",289,2,0.12,"0.0048"
"2","GO:0005791","rough endoplasmic reticulum",49,1,0.02,"0.0205"
"3","GO:0005667","transcription regulator complex",201,1,0.08,"0.0824"
"4","GO:0005654","nucleoplasm",1789,2,0.75,"0.1579"
"5","GO:0031981","nuclear lumen",1985,2,0.84,"0.1901"
"6","GO:0070013","intracellular organelle lumen",2183,2,0.92,"0.2247"
"7","GO:0043233","organelle lumen",2183,2,0.92,"0.2247"
"8","GO:0031974","membrane-enclosed lumen",2183,2,0.92,"0.2247"
"9","GO:0005794","Golgi apparatus",799,1,0.34,"0.3006"
"10","GO:0005783","endoplasmic reticulum",864,1,0.36,"0.3219"
"11","GO:0005739","mitochondrion",920,1,0.39,"0.3400"
"12","GO:0005634","nucleus",3267,2,1.38,"0.4390"
"13","GO:0012505","endomembrane system",1983,1,0.84,"0.6249"
"14","GO:0032991","protein-containing complex",2684,1,1.13,"0.7586"
"15","GO:0005737","cytoplasm",5119,2,2.16,"0.8082"
"16","GO:0043231","intracellular membrane-bounded organelle",5172,2,2.18,"0.8172"
"17","GO:0043227","membrane-bounded organelle",5274,2,2.22,"0.8340"
"18","GO:0016020","membrane",3420,1,1.44,"0.8600"
"19","GO:0043229","intracellular organelle",5554,2,2.34,"0.8769"
"20","GO:0043226","organelle",5656,2,2.39,"0.8912"
