"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004667","prostaglandin-D synthase activity",2,1,0,"0.00086"
"2","GO:0005501","retinoid binding",5,1,0,"0.00215"
"3","GO:0005520","insulin-like growth factor binding",11,1,0,"0.00473"
"4","GO:0005504","fatty acid binding",17,1,0.01,"0.00731"
"5","GO:0035198","miRNA binding",22,1,0.01,"0.00945"
"6","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",151,1,0.07,"0.06369"
"7","GO:0001216","DNA-binding transcription activator activity",153,1,0.07,"0.06452"
"8","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",361,1,0.16,"0.14769"
"9","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",362,1,0.16,"0.14808"
"10","GO:0000987","cis-regulatory region sequence-specific DNA binding",370,1,0.16,"0.15118"
"11","GO:0003700","DNA-binding transcription factor activity",384,1,0.17,"0.15657"
"12","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",425,1,0.18,"0.17225"
"13","GO:0000976","transcription cis-regulatory region binding",477,1,0.21,"0.19186"
"14","GO:0001067","transcription regulatory region nucleic acid binding",480,1,0.21,"0.19298"
"15","GO:1990837","sequence-specific double-stranded DNA binding",498,1,0.21,"0.19969"
"16","GO:0003690","double-stranded DNA binding",533,1,0.23,"0.21262"
"17","GO:0043565","sequence-specific DNA binding",554,1,0.24,"0.22032"
"18","GO:0140110","transcription regulator activity",635,1,0.27,"0.24953"
"19","GO:0003677","DNA binding",870,1,0.38,"0.33012"
"20","GO:0036094","small molecule binding",1119,1,0.48,"0.40899"
