"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0048483","autonomic nervous system development",16,2,0.08,"0.0026"
"2","GO:0022010","central nervous system myelination",17,2,0.08,"0.0029"
"3","GO:1905517","macrophage migration",20,2,0.1,"0.0041"
"4","GO:0035645","enteric smooth muscle cell differentiation",1,1,0,"0.0048"
"5","GO:2001213","negative regulation of vasculogenesis",1,1,0,"0.0048"
"6","GO:0060164","regulation of timing of neuron differentiation",1,1,0,"0.0048"
"7","GO:1904530","negative regulation of actin filament binding",1,1,0,"0.0048"
"8","GO:0034164","negative regulation of toll-like receptor 9 signaling pathwa...",1,1,0,"0.0048"
"9","GO:0034165","positive regulation of toll-like receptor 9 signaling pathwa...",1,1,0,"0.0048"
"10","GO:0045588","positive regulation of gamma-delta T cell differentiation",1,1,0,"0.0048"
"11","GO:0001572","lactosylceramide biosynthetic process",1,1,0,"0.0048"
"12","GO:0035910","ascending aorta morphogenesis",1,1,0,"0.0048"
"13","GO:1905943","negative regulation of formation of growth cone in injured a...",1,1,0,"0.0048"
"14","GO:2000761","positive regulation of N-terminal peptidyl-lysine acetylatio...",1,1,0,"0.0048"
"15","GO:0014826","vein smooth muscle contraction",1,1,0,"0.0048"
"16","GO:0007497","posterior midgut development",1,1,0,"0.0048"
"17","GO:1905580","positive regulation of ERBB3 signaling pathway",1,1,0,"0.0048"
"18","GO:0032687","negative regulation of interferon-alpha production",1,1,0,"0.0048"
"19","GO:0051930","regulation of sensory perception of pain",23,2,0.11,"0.0054"
"20","GO:0030516","regulation of axon extension",77,3,0.37,"0.0059"
