"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0016021","integral component of membrane",1741,16,8.1,"0.0048"
"2","GO:0030426","growth cone",167,4,0.78,"0.0071"
"3","GO:0099066","integral component of neuronal dense core vesicle membrane",2,1,0.01,"0.0093"
"4","GO:0005918","septate junction",2,1,0.01,"0.0093"
"5","GO:0044393","microspike",2,1,0.01,"0.0093"
"6","GO:0055038","recycling endosome membrane",32,2,0.15,"0.0095"
"7","GO:1990769","proximal neuron projection",3,1,0.01,"0.0139"
"8","GO:0005886","plasma membrane",1908,15,8.88,"0.0167"
"9","GO:0140007","KICSTOR complex",4,1,0.02,"0.0185"
"10","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membran...",4,1,0.02,"0.0185"
"11","GO:0098826","endoplasmic reticulum tubular network membrane",5,1,0.02,"0.0231"
"12","GO:0032584","growth cone membrane",6,1,0.03,"0.0276"
"13","GO:1990130","GATOR1 complex",6,1,0.03,"0.0276"
"14","GO:0099061","integral component of postsynaptic density membrane",58,2,0.27,"0.0295"
"15","GO:0071944","cell periphery",2037,15,9.48,"0.0300"
"16","GO:0099146","intrinsic component of postsynaptic density membrane",64,2,0.3,"0.0354"
"17","GO:0043209","myelin sheath",165,3,0.77,"0.0405"
"18","GO:0035859","Seh1-associated complex",10,1,0.05,"0.0456"
"19","GO:0099060","integral component of postsynaptic specialization membrane",76,2,0.35,"0.0483"
"20","GO:0044294","dendritic growth cone",11,1,0.05,"0.0501"
