"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022627","cytosolic small ribosomal subunit",39,5,0.52,"0.00015"
"2","GO:0043527","tRNA methyltransferase complex",2,2,0.03,"0.00018"
"3","GO:0061202","clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane",2,2,0.03,"0.00018"
"4","GO:0042788","polysomal ribosome",34,4,0.45,"0.00102"
"5","GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",5,2,0.07,"0.00172"
"6","GO:0098826","endoplasmic reticulum tubular network membrane",5,2,0.07,"0.00172"
"7","GO:0000805","X chromosome",7,2,0.09,"0.00354"
"8","GO:0098686","hippocampal mossy fiber to CA3 synapse",25,3,0.33,"0.00428"
"9","GO:0060077","inhibitory synapse",26,3,0.35,"0.00480"
"10","GO:0000786","nucleosome",10,2,0.13,"0.00740"
"11","GO:0098982","GABA-ergic synapse",62,4,0.83,"0.00921"
"12","GO:0008043","intracellular ferritin complex",1,1,0.01,"0.01335"
"13","GO:0070288","ferritin complex",1,1,0.01,"0.01335"
"14","GO:0031515","tRNA (m1A) methyltransferase complex",1,1,0.01,"0.01335"
"15","GO:0005576","extracellular region",473,12,6.31,"0.02283"
"16","GO:0043209","myelin sheath",167,6,2.23,"0.02383"
"17","GO:0070382","exocytic vesicle",167,6,2.23,"0.02383"
"18","GO:0098642","network-forming collagen trimer",2,1,0.03,"0.02652"
"19","GO:0098645","collagen network",2,1,0.03,"0.02652"
"20","GO:0070449","elongin complex",2,1,0.03,"0.02652"
