"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004351","glutamate decarboxylase activity",2,2,0.03,"0.00018"
"2","GO:0031492","nucleosomal DNA binding",5,2,0.07,"0.00176"
"3","GO:0032561","guanyl ribonucleotide binding",184,8,2.48,"0.00327"
"4","GO:0016208","AMP binding",7,2,0.09,"0.00362"
"5","GO:0003729","mRNA binding",202,8,2.73,"0.00575"
"6","GO:0003735","structural constituent of ribosome",125,6,1.69,"0.00667"
"7","GO:0019838","growth factor binding",56,4,0.76,"0.00670"
"8","GO:0050839","cell adhesion molecule binding",131,6,1.77,"0.00834"
"9","GO:0016595","glutamate binding",11,2,0.15,"0.00916"
"10","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism",11,2,0.15,"0.00916"
"11","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding",11,2,0.15,"0.00916"
"12","GO:0016780","phosphotransferase activity, for other substituted phosphate groups",13,2,0.18,"0.01277"
"13","GO:0005200","structural constituent of cytoskeleton",37,3,0.5,"0.01329"
"14","GO:0003711","transcription elongation regulator activity",1,1,0.01,"0.01350"
"15","GO:1905538","polysome binding",1,1,0.01,"0.01350"
"16","GO:0033679","3'-5' DNA/RNA helicase activity",1,1,0.01,"0.01350"
"17","GO:0045142","triplex DNA binding",1,1,0.01,"0.01350"
"18","GO:0047429","nucleoside-triphosphate diphosphatase activity",1,1,0.01,"0.01350"
"19","GO:0008176","tRNA (guanine-N7-)-methyltransferase activity",1,1,0.01,"0.01350"
"20","GO:0097726","LEM domain binding",1,1,0.01,"0.01350"
