"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",25,3,0.16,"0.00053"
"2","GO:0001764","neuron migration",118,5,0.77,"0.00094"
"3","GO:0007411","axon guidance",136,5,0.88,"0.00177"
"4","GO:0099545","trans-synaptic signaling by trans-synaptic complex",10,2,0.06,"0.00180"
"5","GO:0097090","presynaptic membrane organization",10,2,0.06,"0.00180"
"6","GO:0045161","neuronal ion channel clustering",10,2,0.06,"0.00180"
"7","GO:0071625","vocalization behavior",14,2,0.09,"0.00358"
"8","GO:0050775","positive regulation of dendrite morphogenesis",49,3,0.32,"0.00384"
"9","GO:0110020","regulation of actomyosin structure organization",53,3,0.34,"0.00480"
"10","GO:0007521","muscle cell fate determination",1,1,0.01,"0.00650"
"11","GO:0071206","establishment of protein localization to juxtaparanode region of axon",1,1,0.01,"0.00650"
"12","GO:2000620","positive regulation of histone H4-K16 acetylation",1,1,0.01,"0.00650"
"13","GO:0003185","sinoatrial valve morphogenesis",1,1,0.01,"0.00650"
"14","GO:0003138","primary heart field specification",1,1,0.01,"0.00650"
"15","GO:2000111","positive regulation of macrophage apoptotic process",1,1,0.01,"0.00650"
"16","GO:0060164","regulation of timing of neuron differentiation",1,1,0.01,"0.00650"
"17","GO:0060168","positive regulation of adenosine receptor signaling pathway",1,1,0.01,"0.00650"
"18","GO:0045944","positive regulation of transcription by RNA polymerase II",534,9,3.47,"0.00655"
"19","GO:0032956","regulation of actin cytoskeleton organization",185,7,1.2,"0.00834"
"20","GO:0007015","actin filament organization",213,5,1.38,"0.01184"
