"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0004667","prostaglandin-D synthase activity",2,1,0,"0.0032"
"2","GO:0004117","calmodulin-dependent cyclic-nucleotide phosphodiesterase act...",3,1,0,"0.0048"
"3","GO:0048101","calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodi...",3,1,0,"0.0048"
"4","GO:0030274","LIM domain binding",5,1,0.01,"0.0079"
"5","GO:0005501","retinoid binding",5,1,0.01,"0.0079"
"6","GO:0005516","calmodulin binding",107,2,0.17,"0.0119"
"7","GO:0070001","aspartic-type peptidase activity",11,1,0.02,"0.0173"
"8","GO:0004190","aspartic-type endopeptidase activity",11,1,0.02,"0.0173"
"9","GO:0008134","transcription factor binding",370,3,0.59,"0.0181"
"10","GO:0030552","cAMP binding",12,1,0.02,"0.0189"
"11","GO:0030551","cyclic nucleotide binding",16,1,0.03,"0.0251"
"12","GO:0005504","fatty acid binding",17,1,0.03,"0.0267"
"13","GO:0033293","monocarboxylic acid binding",24,1,0.04,"0.0375"
"14","GO:0001102","RNA polymerase II activating transcription factor binding",27,1,0.04,"0.0420"
"15","GO:0035255","ionotropic glutamate receptor binding",30,1,0.05,"0.0466"
"16","GO:0033613","activating transcription factor binding",45,1,0.07,"0.0692"
"17","GO:0140110","transcription regulator activity",640,3,1.02,"0.0737"
"18","GO:0035254","glutamate receptor binding",52,1,0.08,"0.0795"
"19","GO:0031406","carboxylic acid binding",68,1,0.11,"0.1028"
"20","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",364,2,0.58,"0.1106"
