"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0032809","neuronal cell body membrane",24,1,0.03,"0.027"
"2","GO:0044298","cell body membrane",26,1,0.03,"0.029"
"3","GO:0030175","filopodium",57,1,0.06,"0.063"
"4","GO:0090575","RNA polymerase II transcription regulator complex",83,1,0.09,"0.090"
"5","GO:0043025","neuronal cell body",463,2,0.53,"0.092"
"6","GO:0098858","actin-based cell projection",99,1,0.11,"0.107"
"7","GO:0030424","axon",507,2,0.57,"0.108"
"8","GO:0044297","cell body",518,2,0.59,"0.112"
"9","GO:0030027","lamellipodium",110,1,0.12,"0.118"
"10","GO:0030426","growth cone",167,1,0.19,"0.174"
"11","GO:0030427","site of polarized growth",171,1,0.19,"0.178"
"12","GO:0036477","somatodendritic compartment",701,2,0.79,"0.185"
"13","GO:0005667","transcription regulator complex",196,1,0.22,"0.202"
"14","GO:0031252","cell leading edge",252,1,0.29,"0.253"
"15","GO:0150034","distal axon",270,1,0.31,"0.268"
"16","GO:0005615","extracellular space",284,1,0.32,"0.280"
"17","GO:0043005","neuron projection",956,2,1.08,"0.297"
"18","GO:0016021","integral component of membrane",1728,3,1.96,"0.309"
"19","GO:0005654","nucleoplasm",1746,3,1.98,"0.315"
"20","GO:0031224","intrinsic component of membrane",1795,3,2.04,"0.332"
