"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0032809","neuronal cell body membrane",24,1,0.03,"0.027"
"2","GO:0044298","cell body membrane",26,1,0.03,"0.029"
"3","GO:0030175","filopodium",58,1,0.07,"0.064"
"4","GO:0043025","neuronal cell body",461,2,0.52,"0.091"
"5","GO:0090575","RNA polymerase II transcription regulator complex",85,1,0.1,"0.092"
"6","GO:0030424","axon",507,2,0.57,"0.107"
"7","GO:0098858","actin-based cell projection",100,1,0.11,"0.108"
"8","GO:0044297","cell body",512,2,0.58,"0.109"
"9","GO:0030027","lamellipodium",112,1,0.13,"0.120"
"10","GO:0030426","growth cone",162,1,0.18,"0.169"
"11","GO:0030427","site of polarized growth",166,1,0.19,"0.173"
"12","GO:0036477","somatodendritic compartment",693,2,0.78,"0.180"
"13","GO:0005667","transcription regulator complex",200,1,0.23,"0.205"
"14","GO:0031252","cell leading edge",259,1,0.29,"0.258"
"15","GO:0150034","distal axon",264,1,0.3,"0.262"
"16","GO:0005615","extracellular space",284,1,0.32,"0.279"
"17","GO:0045202","synapse",942,2,1.06,"0.289"
"18","GO:0043005","neuron projection",948,2,1.07,"0.292"
"19","GO:0016021","integral component of membrane",1750,3,1.98,"0.314"
"20","GO:0031224","intrinsic component of membrane",1804,3,2.04,"0.333"
