"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005043","netrin receptor activity involved in chemorepulsion",1,1,0,"0.0012"
"2","GO:0102140","heparan sulfate N-deacetylase activity",1,1,0,"0.0012"
"3","GO:0015016","[heparan sulfate]-glucosamine N-sulfotransferase activity",2,1,0,"0.0023"
"4","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",361,3,0.42,"0.0065"
"5","GO:0001228","DNA-binding transcription activator activity, RNA polymerase...",151,2,0.17,"0.0122"
"6","GO:0001216","DNA-binding transcription activator activity",151,2,0.17,"0.0122"
"7","GO:0070888","E-box binding",19,1,0.02,"0.0218"
"8","GO:0005125","cytokine activity",20,1,0.02,"0.0229"
"9","GO:0001102","RNA polymerase II activating transcription factor binding",26,1,0.03,"0.0297"
"10","GO:1990841","promoter-specific chromatin binding",36,1,0.04,"0.0410"
"11","GO:0033613","activating transcription factor binding",44,1,0.05,"0.0499"
"12","GO:0003682","chromatin binding",326,2,0.38,"0.0515"
"13","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II...",363,2,0.42,"0.0625"
"14","GO:0003700","DNA-binding transcription factor activity",394,2,0.46,"0.0723"
"15","GO:0004386","helicase activity",71,1,0.08,"0.0794"
"16","GO:0048018","receptor ligand activity",75,1,0.09,"0.0837"
"17","GO:0030546","signaling receptor activator activity",78,1,0.09,"0.0869"
"18","GO:0030545","receptor regulator activity",88,1,0.1,"0.0975"
"19","GO:0046982","protein heterodimerization activity",148,1,0.17,"0.1591"
"20","GO:0140110","transcription regulator activity",638,2,0.74,"0.1643"
