"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:1900272","negative regulation of long-term synaptic potentiation",7,3,0.17,"0.00049"
"2","GO:0097500","receptor localization to non-motile cilium",3,2,0.07,"0.00181"
"3","GO:1902004","positive regulation of amyloid-beta formation",12,3,0.3,"0.00280"
"4","GO:0051305","chromosome movement towards spindle pole",4,2,0.1,"0.00356"
"5","GO:1904579","cellular response to thapsigargin",4,2,0.1,"0.00356"
"6","GO:0035082","axoneme assembly",14,3,0.35,"0.00447"
"7","GO:1900452","regulation of long-term synaptic depression",14,3,0.35,"0.00447"
"8","GO:0030900","forebrain development",206,12,5.11,"0.00505"
"9","GO:0035641","locomotory exploration behavior",15,3,0.37,"0.00549"
"10","GO:1902961","positive regulation of aspartic-type endopeptidase activity ...",5,2,0.12,"0.00583"
"11","GO:0071805","potassium ion transmembrane transport",111,8,2.76,"0.00618"
"12","GO:1900006","positive regulation of dendrite development",16,3,0.4,"0.00664"
"13","GO:0032012","regulation of ARF protein signal transduction",16,3,0.4,"0.00664"
"14","GO:1904062","regulation of cation transmembrane transport",189,11,4.69,"0.00722"
"15","GO:0099175","regulation of postsynapse organization",91,7,2.26,"0.00723"
"16","GO:0048814","regulation of dendrite morphogenesis",70,6,1.74,"0.00757"
"17","GO:0051044","positive regulation of membrane protein ectodomain proteolys...",6,2,0.15,"0.00861"
"18","GO:0099054","presynapse assembly",35,4,0.87,"0.01054"
"19","GO:2000649","regulation of sodium ion transmembrane transporter activity",35,4,0.87,"0.01054"
"20","GO:0021761","limbic system development",55,5,1.37,"0.01137"
