"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0034363","intermediate-density lipoprotein particle",2,2,0.05,"0.00061"
"2","GO:0008076","voltage-gated potassium channel complex",51,6,1.26,"0.00149"
"3","GO:0098978","glutamatergic synapse",422,21,10.42,"0.00159"
"4","GO:0043235","receptor complex",166,11,4.1,"0.00261"
"5","GO:0099061","integral component of postsynaptic density membrane",58,6,1.43,"0.00291"
"6","GO:0071004","U2-type prespliceosome",14,3,0.35,"0.00441"
"7","GO:0000922","spindle pole",64,6,1.58,"0.00477"
"8","GO:0034361","very-low-density lipoprotein particle",5,2,0.12,"0.00578"
"9","GO:0034362","low-density lipoprotein particle",5,2,0.12,"0.00578"
"10","GO:0034364","high-density lipoprotein particle",5,2,0.12,"0.00578"
"11","GO:0072534","perineuronal net",5,2,0.12,"0.00578"
"12","GO:0005686","U2 snRNP",16,3,0.4,"0.00655"
"13","GO:0097060","synaptic membrane",339,20,8.37,"0.00757"
"14","GO:0120025","plasma membrane bounded cell projection",1219,45,30.11,"0.00763"
"15","GO:0071011","precatalytic spliceosome",33,4,0.82,"0.00841"
"16","GO:0005689","U12-type spliceosomal complex",18,3,0.44,"0.00920"
"17","GO:0043194","axon initial segment",18,3,0.44,"0.00920"
"18","GO:0005874","microtubule",226,12,5.58,"0.00995"
"19","GO:1902495","transmembrane transporter complex",178,14,4.4,"0.01120"
"20","GO:0046540","U4/U6 x U5 tri-snRNP complex",20,3,0.49,"0.01239"
