"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005615","extracellular space",289,63,29.69,"3.2e-09"
"2","GO:0043197","dendritic spine",163,37,16.75,"2.3e-06"
"3","GO:0016342","catenin complex",19,10,1.95,"4.8e-06"
"4","GO:0005886","plasma membrane",1911,277,196.35,"5.6e-06"
"5","GO:0098978","glutamatergic synapse",422,70,43.36,"2.6e-05"
"6","GO:0099056","integral component of presynaptic membrane",78,19,8.01,"0.00025"
"7","GO:0099061","integral component of postsynaptic density membrane",58,15,5.96,"0.00057"
"8","GO:0016021","integral component of membrane",1744,237,179.19,"0.00057"
"9","GO:0034703","cation channel complex",140,31,14.38,"0.00064"
"10","GO:0098688","parallel fiber to Purkinje cell synapse",26,9,2.67,"0.00076"
"11","GO:0043198","dendritic shaft",60,15,6.16,"0.00083"
"12","GO:0017146","NMDA selective glutamate receptor complex",9,5,0.92,"0.00100"
"13","GO:0005833","hemoglobin complex",3,3,0.31,"0.00108"
"14","GO:0031838","haptoglobin-hemoglobin complex",3,3,0.31,"0.00108"
"15","GO:0099055","integral component of postsynaptic membrane",122,30,12.54,"0.00149"
"16","GO:0030424","axon",510,78,52.4,"0.00183"
"17","GO:0016327","apicolateral plasma membrane",10,5,1.03,"0.00183"
"18","GO:0005581","collagen trimer",19,7,1.95,"0.00196"
"19","GO:0005604","basement membrane",35,10,3.6,"0.00208"
"20","GO:0008328","ionotropic glutamate receptor complex",46,15,4.73,"0.00313"
