"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043025","neuronal cell body",467,29,13.23,"4.6e-05"
"2","GO:0099026","anchored component of presynaptic membrane",9,4,0.26,"7.0e-05"
"3","GO:0098978","glutamatergic synapse",422,26,11.96,"0.00013"
"4","GO:0030424","axon",510,31,14.45,"0.00054"
"5","GO:0043197","dendritic spine",163,13,4.62,"0.00069"
"6","GO:0009986","cell surface",261,17,7.4,"0.00112"
"7","GO:0005886","plasma membrane",1911,81,54.15,"0.00144"
"8","GO:0005576","extracellular region",470,25,13.32,"0.00161"
"9","GO:0016529","sarcoplasmic reticulum",34,5,0.96,"0.00248"
"10","GO:0099524","postsynaptic cytosol",21,4,0.6,"0.00256"
"11","GO:0031012","extracellular matrix",125,10,3.54,"0.00278"
"12","GO:0032839","dendrite cytoplasm",23,4,0.65,"0.00363"
"13","GO:0099523","presynaptic cytosol",23,4,0.65,"0.00363"
"14","GO:0098982","GABA-ergic synapse",90,8,2.55,"0.00383"
"15","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",4,2,0.11,"0.00462"
"16","GO:0099056","integral component of presynaptic membrane",78,7,2.21,"0.00637"
"17","GO:0098685","Schaffer collateral - CA1 synapse",98,8,2.78,"0.00642"
"18","GO:0043198","dendritic shaft",60,6,1.7,"0.00673"
"19","GO:0034774","secretory granule lumen",5,2,0.14,"0.00755"
"20","GO:0099055","integral component of postsynaptic membrane",122,9,3.46,"0.00759"
