"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005509","calcium ion binding",234,61,32.5,"3.8e-07"
"2","GO:0005516","calmodulin binding",107,32,14.86,"1.2e-05"
"3","GO:1904315","transmitter-gated ion channel activity involved in regulatio...",29,12,4.03,"0.00026"
"4","GO:0030020","extracellular matrix structural constituent conferring tensi...",9,6,1.25,"0.00041"
"5","GO:0035254","glutamate receptor binding",52,17,7.22,"0.00042"
"6","GO:0005244","voltage-gated ion channel activity",101,29,14.03,"0.00062"
"7","GO:0005200","structural constituent of cytoskeleton",37,13,5.14,"0.00093"
"8","GO:0044325","ion channel binding",97,25,13.47,"0.00128"
"9","GO:0042802","identical protein binding",948,162,131.65,"0.00158"
"10","GO:0030695","GTPase regulator activity",245,51,34.02,"0.00158"
"11","GO:0019871","sodium channel inhibitor activity",5,4,0.69,"0.00164"
"12","GO:0030165","PDZ domain binding",73,20,10.14,"0.00172"
"13","GO:0033130","acetylcholine receptor binding",11,6,1.53,"0.00175"
"14","GO:0071855","neuropeptide receptor binding",8,5,1.11,"0.00199"
"15","GO:0042056","chemoattractant activity",8,5,1.11,"0.00199"
"16","GO:0004970","ionotropic glutamate receptor activity",15,7,2.08,"0.00227"
"17","GO:0005250","A-type (transient outward) potassium channel activity",3,3,0.42,"0.00267"
"18","GO:0019865","immunoglobulin binding",3,3,0.42,"0.00267"
"19","GO:0001786","phosphatidylserine binding",32,11,4.44,"0.00277"
"20","GO:0004888","transmembrane signaling receptor activity",182,50,25.27,"0.00338"
