"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0030426","growth cone",167,1,0.02,"0.024"
"2","GO:0030427","site of polarized growth",171,1,0.02,"0.024"
"3","GO:0015629","actin cytoskeleton",232,1,0.03,"0.033"
"4","GO:0150034","distal axon",271,1,0.04,"0.038"
"5","GO:0030424","axon",509,1,0.07,"0.072"
"6","GO:0043005","neuron projection",961,1,0.14,"0.136"
"7","GO:0005856","cytoskeleton",1041,1,0.15,"0.147"
"8","GO:0120025","plasma membrane bounded cell projection",1219,1,0.17,"0.172"
"9","GO:0042995","cell projection",1316,1,0.19,"0.186"
"10","GO:0043232","intracellular non-membrane-bounded organelle",2019,1,0.29,"0.285"
"11","GO:0043228","non-membrane-bounded organelle",2035,1,0.29,"0.287"
"12","GO:0005634","nucleus",3257,1,0.46,"0.460"
"13","GO:0043231","intracellular membrane-bounded organelle",4919,1,0.69,"0.695"
"14","GO:0005737","cytoplasm",5078,1,0.72,"0.717"
"15","GO:0043227","membrane-bounded organelle",5167,1,0.73,"0.730"
"16","GO:0043229","intracellular organelle",5349,1,0.76,"0.755"
"17","GO:0043226","organelle",5643,1,0.8,"0.797"
"18","GO:0005622","intracellular anatomical structure",6089,1,0.86,"0.860"
"19","GO:0110165","cellular anatomical entity",6749,1,0.95,"0.953"
"20","GO:0005575","cellular_component",7082,1,1,"1.000"
