"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0045666","positive regulation of neuron differentiation",52,19,4.2,"7.8e-09"
"2","GO:0007612","learning",120,25,9.69,"7.8e-06"
"3","GO:0007155","cell adhesion",519,82,41.9,"1.1e-05"
"4","GO:0007613","memory",95,21,7.67,"1.6e-05"
"5","GO:0048167","regulation of synaptic plasticity",169,41,13.64,"2.3e-05"
"6","GO:0007411","axon guidance",132,28,10.66,"2.7e-05"
"7","GO:0008285","negative regulation of cell population proliferation",264,40,21.31,"6.6e-05"
"8","GO:0099150","regulation of postsynaptic specialization assembly",16,7,1.29,"0.00013"
"9","GO:0048168","regulation of neuronal synaptic plasticity",54,16,4.36,"0.00016"
"10","GO:0042391","regulation of membrane potential",250,51,20.18,"0.00016"
"11","GO:0048812","neuron projection morphogenesis",476,78,38.43,"0.00022"
"12","GO:0008038","neuron recognition",41,11,3.31,"0.00029"
"13","GO:0007628","adult walking behavior",29,9,2.34,"0.00031"
"14","GO:0007186","G protein-coupled receptor signaling pathway",246,40,19.86,"0.00039"
"15","GO:0035249","synaptic transmission, glutamatergic",78,16,6.3,"0.00040"
"16","GO:0001764","neuron migration",118,21,9.53,"0.00043"
"17","GO:0071675","regulation of mononuclear cell migration",37,10,2.99,"0.00051"
"18","GO:0061643","chemorepulsion of axon",3,3,0.24,"0.00052"
"19","GO:0072178","nephric duct morphogenesis",3,3,0.24,"0.00052"
"20","GO:0021960","anterior commissure morphogenesis",3,3,0.24,"0.00052"
