"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",422,75,34.14,"2.1e-11"
"2","GO:0043025","neuronal cell body",467,83,37.78,"5.4e-10"
"3","GO:0030425","dendrite",528,92,42.72,"1.5e-07"
"4","GO:0099061","integral component of postsynaptic density membrane",58,18,4.69,"3.5e-07"
"5","GO:0009986","cell surface",261,44,21.12,"1.8e-06"
"6","GO:0032281","AMPA glutamate receptor complex",25,10,2.02,"1.2e-05"
"7","GO:0099056","integral component of presynaptic membrane",78,22,6.31,"1.6e-05"
"8","GO:0005834","heterotrimeric G-protein complex",17,8,1.38,"2.2e-05"
"9","GO:0098982","GABA-ergic synapse",90,20,7.28,"2.4e-05"
"10","GO:0005615","extracellular space",289,44,23.38,"2.6e-05"
"11","GO:0043197","dendritic spine",163,32,13.19,"2.8e-05"
"12","GO:0014069","postsynaptic density",331,59,26.78,"4.0e-05"
"13","GO:0030424","axon",510,81,41.26,"5.2e-05"
"14","GO:0043005","neuron projection",963,159,77.91,"6.0e-05"
"15","GO:0031594","neuromuscular junction",63,15,5.1,"0.00011"
"16","GO:0005887","integral component of plasma membrane",494,96,39.97,"0.00012"
"17","GO:0005576","extracellular region",470,73,38.02,"0.00013"
"18","GO:0043198","dendritic shaft",60,14,4.85,"0.00023"
"19","GO:0045121","membrane raft",175,28,14.16,"0.00034"
"20","GO:0042383","sarcolemma",78,16,6.31,"0.00041"
