"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0050708","regulation of protein secretion",139,5,0.96,"0.0026"
"2","GO:0009749","response to glucose",91,4,0.63,"0.0035"
"3","GO:1905244","regulation of modification of synaptic structure",14,2,0.1,"0.0041"
"4","GO:0010800","positive regulation of peptidyl-threonine phosphorylation",15,2,0.1,"0.0047"
"5","GO:0045666","positive regulation of neuron differentiation",52,3,0.36,"0.0055"
"6","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",103,4,0.71,"0.0055"
"7","GO:0030214","hyaluronan catabolic process",1,1,0.01,"0.0069"
"8","GO:2001108","positive regulation of Rho guanyl-nucleotide exchange factor...",1,1,0.01,"0.0069"
"9","GO:0048625","myoblast fate commitment",1,1,0.01,"0.0069"
"10","GO:0048619","embryonic hindgut morphogenesis",1,1,0.01,"0.0069"
"11","GO:0039008","pronephric nephron tubule morphogenesis",1,1,0.01,"0.0069"
"12","GO:0006572","tyrosine catabolic process",1,1,0.01,"0.0069"
"13","GO:0065001","specification of axis polarity",1,1,0.01,"0.0069"
"14","GO:1901383","negative regulation of chorionic trophoblast cell proliferat...",1,1,0.01,"0.0069"
"15","GO:0033364","mast cell secretory granule organization",1,1,0.01,"0.0069"
"16","GO:0030538","embryonic genitalia morphogenesis",1,1,0.01,"0.0069"
"17","GO:0035844","cloaca development",1,1,0.01,"0.0069"
"18","GO:0061098","positive regulation of protein tyrosine kinase activity",21,2,0.15,"0.0091"
"19","GO:0030048","actin filament-based movement",65,3,0.45,"0.0102"
"20","GO:0007605","sensory perception of sound",69,3,0.48,"0.0119"
