"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0070369","beta-catenin-TCF7L2 complex",3,2,0.02,"0.00013"
"2","GO:0005887","integral component of plasma membrane",494,11,3.27,"0.00100"
"3","GO:0005892","acetylcholine-gated channel complex",1,1,0.01,"0.00663"
"4","GO:0031594","neuromuscular junction",63,3,0.42,"0.00820"
"5","GO:0005911","cell-cell junction",224,5,1.48,"0.01566"
"6","GO:0031838","haptoglobin-hemoglobin complex",3,1,0.02,"0.01975"
"7","GO:0005833","hemoglobin complex",3,1,0.02,"0.01975"
"8","GO:0098922","extrinsic component of dense core granule membrane",3,1,0.02,"0.01975"
"9","GO:0098674","extrinsic component of neuronal dense core vesicle membrane",3,1,0.02,"0.01975"
"10","GO:0016529","sarcoplasmic reticulum",34,2,0.23,"0.02107"
"11","GO:0036038","MKS complex",4,1,0.03,"0.02624"
"12","GO:0016012","sarcoglycan complex",4,1,0.03,"0.02624"
"13","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",4,1,0.03,"0.02624"
"14","GO:0036056","filtration diaphragm",4,1,0.03,"0.02624"
"15","GO:0036057","slit diaphragm",4,1,0.03,"0.02624"
"16","GO:0048179","activin receptor complex",4,1,0.03,"0.02624"
"17","GO:0120206","photoreceptor distal connecting cilium",4,1,0.03,"0.02624"
"18","GO:0009986","cell surface",260,5,1.72,"0.02784"
"19","GO:0098686","hippocampal mossy fiber to CA3 synapse",40,2,0.27,"0.02856"
"20","GO:0016528","sarcoplasm",41,2,0.27,"0.02990"
