"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000015","phosphopyruvate hydratase complex",2,0,0,"1"
"2","GO:0000109","nucleotide-excision repair complex",4,0,0,"1"
"3","GO:0000110","nucleotide-excision repair factor 1 complex",1,0,0,"1"
"4","GO:0000118","histone deacetylase complex",44,0,0,"1"
"5","GO:0000120","RNA polymerase I transcription regulator complex",5,0,0,"1"
"6","GO:0000123","histone acetyltransferase complex",54,0,0,"1"
"7","GO:0000124","SAGA complex",10,0,0,"1"
"8","GO:0000125","PCAF complex",1,0,0,"1"
"9","GO:0000126","transcription factor TFIIIB complex",2,0,0,"1"
"10","GO:0000127","transcription factor TFIIIC complex",3,0,0,"1"
"11","GO:0000137","Golgi cis cisterna",9,0,0,"1"
"12","GO:0000138","Golgi trans cisterna",8,0,0,"1"
"13","GO:0000139","Golgi membrane",152,0,0,"1"
"14","GO:0000145","exocyst",9,0,0,"1"
"15","GO:0000151","ubiquitin ligase complex",176,0,0,"1"
"16","GO:0000152","nuclear ubiquitin ligase complex",23,0,0,"1"
"17","GO:0000153","cytoplasmic ubiquitin ligase complex",12,0,0,"1"
"18","GO:0000159","protein phosphatase type 2A complex",13,0,0,"1"
"19","GO:0000164","protein phosphatase type 1 complex",6,0,0,"1"
"20","GO:0000172","ribonuclease MRP complex",2,0,0,"1"
