"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0006996","organelle organization",1902,1424,1348.1,"8.8e-06"
"2","GO:0034622","cellular protein-containing complex assembly",523,410,370.69,"3.4e-05"
"3","GO:0070509","calcium ion import",35,34,24.81,"8.8e-05"
"4","GO:0006886","intracellular protein transport",586,458,415.35,"0.00012"
"5","GO:0051650","establishment of vesicle localization",110,94,77.97,"0.00025"
"6","GO:0060627","regulation of vesicle-mediated transport",328,258,232.48,"0.00070"
"7","GO:1902600","proton transmembrane transport",46,42,32.6,"0.00076"
"8","GO:0032922","circadian regulation of gene expression",46,42,32.6,"0.00076"
"9","GO:0061001","regulation of dendritic spine morphogenesis",49,44,34.73,"0.00137"
"10","GO:0043254","regulation of protein-containing complex assembly",254,201,180.03,"0.00154"
"11","GO:0050684","regulation of mRNA processing",109,91,77.26,"0.00161"
"12","GO:0032984","protein-containing complex disassembly",130,107,92.14,"0.00179"
"13","GO:0090314","positive regulation of protein targeting to membrane",18,18,12.76,"0.00202"
"14","GO:0051443","positive regulation of ubiquitin-protein transferase activity",18,18,12.76,"0.00202"
"15","GO:0072594","establishment of protein localization to organelle",263,207,186.41,"0.00218"
"16","GO:0048488","synaptic vesicle endocytosis",57,50,40.4,"0.00222"
"17","GO:0046578","regulation of Ras protein signal transduction",124,102,87.89,"0.00237"
"18","GO:0006511","ubiquitin-dependent protein catabolic process",390,308,276.42,"0.00238"
"19","GO:0048812","neuron projection morphogenesis",475,371,336.67,"0.00247"
"20","GO:0006513","protein monoubiquitination",41,37,29.06,"0.00275"
