"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005524","ATP binding",703,520,473.35,"3.5e-05"
"2","GO:0019894","kinesin binding",36,34,24.24,"0.00011"
"3","GO:0031267","small GTPase binding",184,146,123.89,"0.00018"
"4","GO:0042393","histone binding",132,107,88.88,"0.00029"
"5","GO:0003724","RNA helicase activity",20,20,13.47,"0.00036"
"6","GO:0003774","motor activity",44,39,29.63,"0.00103"
"7","GO:0008017","microtubule binding",150,118,101,"0.00136"
"8","GO:0004674","protein serine/threonine kinase activity",242,184,162.95,"0.00168"
"9","GO:0003730","mRNA 3'-UTR binding",63,53,42.42,"0.00209"
"10","GO:0008092","cytoskeletal protein binding",524,408,352.83,"0.00275"
"11","GO:0003779","actin binding",210,160,141.4,"0.00283"
"12","GO:0005515","protein binding",4043,2825,2722.29,"0.00341"
"13","GO:0003729","mRNA binding",195,156,131.3,"0.00389"
"14","GO:0002039","p53 binding",47,40,31.65,"0.00488"
"15","GO:0003735","structural constituent of ribosome",120,94,80.8,"0.00514"
"16","GO:0018024","histone-lysine N-methyltransferase activity",29,26,19.53,"0.00544"
"17","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",19,18,12.79,"0.00552"
"18","GO:0050780","dopamine receptor binding",13,13,8.75,"0.00582"
"19","GO:0044877","protein-containing complex binding",748,534,503.65,"0.00650"
"20","GO:0005096","GTPase activator activity",139,107,93.59,"0.00787"
