"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0019955","cytokine binding",22,2,0.1,"0.0042"
"2","GO:0005011","macrophage colony-stimulating factor receptor activity",1,1,0,"0.0045"
"3","GO:0001621","G protein-coupled ADP receptor activity",1,1,0,"0.0045"
"4","GO:0016231","beta-N-acetylglucosaminidase activity",1,1,0,"0.0045"
"5","GO:0005025","transforming growth factor beta receptor activity, type I",2,1,0.01,"0.0089"
"6","GO:0004823","leucine-tRNA ligase activity",2,1,0.01,"0.0089"
"7","GO:0033149","FFAT motif binding",2,1,0.01,"0.0089"
"8","GO:0005114","type II transforming growth factor beta receptor binding",2,1,0.01,"0.0089"
"9","GO:0008454","alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity",2,1,0.01,"0.0089"
"10","GO:0001609","G protein-coupled adenosine receptor activity",2,1,0.01,"0.0089"
"11","GO:0071886","1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",2,1,0.01,"0.0089"
"12","GO:0001587","Gq/11-coupled serotonin receptor activity",2,1,0.01,"0.0089"
"13","GO:0001540","amyloid-beta binding",34,2,0.15,"0.0099"
"14","GO:0005201","extracellular matrix structural constituent",34,2,0.15,"0.0099"
"15","GO:0001972","retinoic acid binding",3,1,0.01,"0.0134"
"16","GO:0003953","NAD+ nucleosidase activity",3,1,0.01,"0.0134"
"17","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating",3,1,0.01,"0.0134"
"18","GO:0019865","immunoglobulin binding",3,1,0.01,"0.0134"
"19","GO:0050135","NAD(P)+ nucleosidase activity",3,1,0.01,"0.0134"
"20","GO:0051378","serotonin binding",3,1,0.01,"0.0134"
