"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043209","myelin sheath",167,119,86.88,"2.3e-07"
"2","GO:0005747","mitochondrial respiratory chain complex I",38,34,19.77,"9.4e-07"
"3","GO:0022627","cytosolic small ribosomal subunit",39,32,20.29,"9.2e-05"
"4","GO:0098800","inner mitochondrial membrane protein complex",91,76,47.34,"0.0009"
"5","GO:0098803","respiratory chain complex",56,50,29.13,"0.0011"
"6","GO:0005746","mitochondrial respirasome",56,50,29.13,"0.0011"
"7","GO:0043679","axon terminus",121,80,62.95,"0.0011"
"8","GO:0005743","mitochondrial inner membrane",248,181,129.02,"0.0013"
"9","GO:0005829","cytosol",1868,1036,971.8,"0.0014"
"10","GO:0043231","intracellular membrane-bounded organelle",4926,2664,2562.69,"0.0014"
"11","GO:0031090","organelle membrane",1193,732,620.64,"0.0016"
"12","GO:0030176","integral component of endoplasmic reticulum membrane",87,59,45.26,"0.0019"
"13","GO:0042788","polysomal ribosome",29,23,15.09,"0.0023"
"14","GO:0015934","large ribosomal subunit",83,56,43.18,"0.0030"
"15","GO:0033268","node of Ranvier",16,14,8.32,"0.0034"
"16","GO:0000776","kinetochore",57,40,29.65,"0.0040"
"17","GO:0043025","neuronal cell body",467,271,242.95,"0.0041"
"18","GO:0030426","growth cone",167,104,86.88,"0.0044"
"19","GO:0033178","proton-transporting two-sector ATPase complex, catalytic dom...",12,11,6.24,"0.0047"
"20","GO:0016471","vacuolar proton-transporting V-type ATPase complex",12,11,6.24,"0.0047"
