"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0090433","palmitoyl-CoA ligase activity",1,1,0,"0.0013"
"2","GO:0070089","chloride-activated potassium channel activity",1,1,0,"0.0013"
"3","GO:0005228","intracellular sodium activated potassium channel activity",2,1,0,"0.0026"
"4","GO:0090434","oleoyl-CoA ligase activity",3,1,0,"0.0039"
"5","GO:0031957","very long-chain fatty acid-CoA ligase activity",3,1,0,"0.0039"
"6","GO:0009982","pseudouridine synthase activity",4,1,0.01,"0.0052"
"7","GO:0070181","small ribosomal subunit rRNA binding",6,1,0.01,"0.0079"
"8","GO:0099122","RNA polymerase II C-terminal domain binding",7,1,0.01,"0.0092"
"9","GO:0047676","arachidonate-CoA ligase activity",7,1,0.01,"0.0092"
"10","GO:0005324","long-chain fatty acid transporter activity",8,1,0.01,"0.0105"
"11","GO:0015271","outward rectifier potassium channel activity",9,1,0.01,"0.0118"
"12","GO:0048027","mRNA 5'-UTR binding",16,1,0.02,"0.0209"
"13","GO:0051019","mitogen-activated protein kinase binding",21,1,0.03,"0.0273"
"14","GO:0043014","alpha-tubulin binding",23,1,0.03,"0.0299"
"15","GO:0001102","RNA polymerase II activating transcription factor binding",25,1,0.03,"0.0324"
"16","GO:0005249","voltage-gated potassium channel activity",42,1,0.06,"0.0539"
"17","GO:0033613","activating transcription factor binding",43,1,0.06,"0.0552"
"18","GO:0005319","lipid transporter activity",63,1,0.08,"0.0799"
"19","GO:0022843","voltage-gated cation channel activity",75,1,0.1,"0.0944"
"20","GO:0005244","voltage-gated ion channel activity",100,1,0.13,"0.1241"
