"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043531","ADP binding",19,11,3.61,"0.00019"
"2","GO:0044325","ion channel binding",97,33,18.44,"0.00031"
"3","GO:0016887","ATPase activity",213,60,40.5,"0.00063"
"4","GO:0008432","JUN kinase binding",8,6,1.52,"0.00092"
"5","GO:0003729","mRNA binding",195,55,37.07,"0.00101"
"6","GO:0003735","structural constituent of ribosome",120,37,22.82,"0.00117"
"7","GO:0008135","translation factor activity, RNA binding",57,21,10.84,"0.00118"
"8","GO:0043184","vascular endothelial growth factor receptor 2 binding",4,4,0.76,"0.00130"
"9","GO:0098631","cell adhesion mediator activity",22,10,4.18,"0.00414"
"10","GO:0030276","clathrin binding",47,17,8.94,"0.00421"
"11","GO:0015078","proton transmembrane transporter activity",59,20,11.22,"0.00472"
"12","GO:0008092","cytoskeletal protein binding",524,123,99.63,"0.00475"
"13","GO:0004601","peroxidase activity",16,8,3.04,"0.00502"
"14","GO:0031625","ubiquitin protein ligase binding",187,50,35.55,"0.00550"
"15","GO:0047485","protein N-terminus binding",89,27,16.92,"0.00655"
"16","GO:1990932","5.8S rRNA binding",3,3,0.57,"0.00686"
"17","GO:0005483","soluble NSF attachment protein activity",3,3,0.57,"0.00686"
"18","GO:0031720","haptoglobin binding",3,3,0.57,"0.00686"
"19","GO:0005525","GTP binding",176,47,33.46,"0.00714"
"20","GO:0008143","poly(A) binding",17,8,3.23,"0.00793"
