"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0033270","paranode region of axon",14,9,0.99,"5.8e-08"
"2","GO:0043209","myelin sheath",167,35,11.78,"1.6e-06"
"3","GO:0015629","actin cytoskeleton",232,33,16.36,"7.4e-05"
"4","GO:0044224","juxtaparanode region of axon",10,5,0.71,"0.00032"
"5","GO:0033010","paranodal junction",3,3,0.21,"0.00035"
"6","GO:0033269","internode region of axon",4,3,0.28,"0.00132"
"7","GO:0045177","apical part of cell",147,21,10.36,"0.00141"
"8","GO:0005769","early endosome",167,23,11.78,"0.00141"
"9","GO:0016323","basolateral plasma membrane",90,15,6.35,"0.00142"
"10","GO:0009986","cell surface",260,31,18.33,"0.00256"
"11","GO:0070161","anchoring junction",283,39,19.95,"0.00259"
"12","GO:0010008","endosome membrane",139,21,9.8,"0.00316"
"13","GO:0005770","late endosome",120,19,8.46,"0.00343"
"14","GO:0005903","brush border",37,8,2.61,"0.00360"
"15","GO:0033268","node of Ranvier",16,5,1.13,"0.00389"
"16","GO:0005886","plasma membrane",1905,166,134.32,"0.00438"
"17","GO:0005874","microtubule",226,27,15.94,"0.00460"
"18","GO:0043218","compact myelin",9,5,0.63,"0.00491"
"19","GO:0099033","anchored component of postsynaptic recycling endosome membrane",2,2,0.14,"0.00496"
"20","GO:0035658","Mon1-Ccz1 complex",2,2,0.14,"0.00496"
