"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043198","dendritic shaft",60,29,11.47,"2.6e-07"
"2","GO:0098978","glutamatergic synapse",422,118,80.65,"3.3e-06"
"3","GO:0043197","dendritic spine",163,57,31.15,"1.6e-05"
"4","GO:0014069","postsynaptic density",331,100,63.26,"3.1e-05"
"5","GO:0060076","excitatory synapse",66,31,12.61,"3.9e-05"
"6","GO:0034703","cation channel complex",140,50,26.76,"0.00011"
"7","GO:0099055","integral component of postsynaptic membrane",122,46,23.32,"0.00014"
"8","GO:0017146","NMDA selective glutamate receptor complex",9,7,1.72,"0.00023"
"9","GO:0030424","axon",510,138,97.47,"0.00042"
"10","GO:0008021","synaptic vesicle",180,52,34.4,"0.00086"
"11","GO:0043235","receptor complex",166,60,31.73,"0.00091"
"12","GO:0005887","integral component of plasma membrane",494,141,94.41,"0.00093"
"13","GO:0098688","parallel fiber to Purkinje cell synapse",26,12,4.97,"0.00153"
"14","GO:0099061","integral component of postsynaptic density membrane",58,21,11.08,"0.00163"
"15","GO:0098802","plasma membrane signaling receptor complex",79,31,15.1,"0.00177"
"16","GO:0043194","axon initial segment",18,9,3.44,"0.00304"
"17","GO:0043083","synaptic cleft",15,8,2.87,"0.00311"
"18","GO:0030027","lamellipodium",110,33,21.02,"0.00376"
"19","GO:0044295","axonal growth cone",39,15,7.45,"0.00378"
"20","GO:0098685","Schaffer collateral - CA1 synapse",98,30,18.73,"0.00403"
