"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:2001222","regulation of neuron migration",35,20,9.17,"0.00010"
"2","GO:0086014","atrial cardiac muscle cell action potential",9,8,2.36,"0.00015"
"3","GO:0007010","cytoskeleton organization",672,215,176.14,"0.00025"
"4","GO:0086091","regulation of heart rate by cardiac conduction",14,10,3.67,"0.00051"
"5","GO:0010882","regulation of cardiac muscle contraction by calcium ion sign...",8,7,2.1,"0.00052"
"6","GO:0086005","ventricular cardiac muscle cell action potential",10,8,2.62,"0.00059"
"7","GO:0050804","modulation of chemical synaptic transmission",360,140,94.36,"0.00078"
"8","GO:0048041","focal adhesion assembly",53,25,13.89,"0.00080"
"9","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",45,22,11.8,"0.00089"
"10","GO:2000463","positive regulation of excitatory postsynaptic potential",32,17,8.39,"0.00105"
"11","GO:0048169","regulation of long-term neuronal synaptic plasticity",27,15,7.08,"0.00113"
"12","GO:0014048","regulation of glutamate secretion",15,10,3.93,"0.00117"
"13","GO:0010977","negative regulation of neuron projection development",108,43,28.31,"0.00129"
"14","GO:0031346","positive regulation of cell projection organization",280,96,73.39,"0.00138"
"15","GO:0017156","calcium-ion regulated exocytosis",49,23,12.84,"0.00139"
"16","GO:0035418","protein localization to synapse",85,40,22.28,"0.00154"
"17","GO:0007411","axon guidance",131,50,34.34,"0.00164"
"18","GO:0099519","dense core granule cytoskeletal transport",11,8,2.88,"0.00165"
"19","GO:0060079","excitatory postsynaptic potential",68,35,17.82,"0.00176"
"20","GO:0048814","regulation of dendrite morphogenesis",70,30,18.35,"0.00177"
