"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",422,154,110.96,"1.3e-06"
"2","GO:0014069","postsynaptic density",331,130,87.03,"4.3e-06"
"3","GO:0060076","excitatory synapse",66,33,17.35,"3.0e-05"
"4","GO:0043195","terminal bouton",53,27,13.94,"0.00010"
"5","GO:0099055","integral component of postsynaptic membrane",122,51,32.08,"0.00013"
"6","GO:0033017","sarcoplasmic reticulum membrane",11,9,2.89,"0.00019"
"7","GO:0043198","dendritic shaft",60,29,15.78,"0.00020"
"8","GO:0030425","dendrite",528,192,138.83,"0.00036"
"9","GO:0043194","axon initial segment",18,12,4.73,"0.00038"
"10","GO:0032591","dendritic spine membrane",10,8,2.63,"0.00060"
"11","GO:0005891","voltage-gated calcium channel complex",21,13,5.52,"0.00062"
"12","GO:0030426","growth cone",167,63,43.91,"0.00069"
"13","GO:0097470","ribbon synapse",19,12,5,"0.00078"
"14","GO:0099092","postsynaptic density, intracellular component",29,16,7.63,"0.00089"
"15","GO:0030314","junctional membrane complex",5,5,1.31,"0.00125"
"16","GO:0017146","NMDA selective glutamate receptor complex",9,7,2.37,"0.00184"
"17","GO:0030018","Z disc",59,26,15.51,"0.00229"
"18","GO:0043197","dendritic spine",163,64,42.86,"0.00275"
"19","GO:0000118","histone deacetylase complex",44,20,11.57,"0.00462"
"20","GO:0099056","integral component of presynaptic membrane",78,31,20.51,"0.00628"
