"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0045340","mercury ion binding",3,1,0,"0.0026"
"2","GO:0050291","sphingosine N-acyltransferase activity",5,1,0,"0.0043"
"3","GO:0016504","peptidase activator activity",16,1,0.01,"0.0139"
"4","GO:0043394","proteoglycan binding",17,1,0.01,"0.0147"
"5","GO:0019706","protein-cysteine S-palmitoyltransferase activity",18,1,0.02,"0.0156"
"6","GO:0019707","protein-cysteine S-acyltransferase activity",18,1,0.02,"0.0156"
"7","GO:0016409","palmitoyltransferase activity",21,1,0.02,"0.0182"
"8","GO:0016417","S-acyltransferase activity",21,1,0.02,"0.0182"
"9","GO:0097718","disordered domain specific binding",24,1,0.02,"0.0207"
"10","GO:0036002","pre-mRNA binding",25,1,0.02,"0.0216"
"11","GO:0001085","RNA polymerase II transcription factor binding",26,1,0.02,"0.0224"
"12","GO:0005201","extracellular matrix structural constituent",29,1,0.03,"0.0250"
"13","GO:0005178","integrin binding",43,1,0.04,"0.0369"
"14","GO:0005515","protein binding",4009,6,3.49,"0.0387"
"15","GO:0061134","peptidase regulator activity",47,1,0.04,"0.0402"
"16","GO:0008201","heparin binding",51,1,0.04,"0.0436"
"17","GO:0051087","chaperone binding",60,1,0.05,"0.0511"
"18","GO:0002020","protease binding",68,1,0.06,"0.0578"
"19","GO:0005539","glycosaminoglycan binding",70,1,0.06,"0.0594"
"20","GO:0016747","transferase activity, transferring acyl groups other than am...",114,2,0.1,"0.0767"
