"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005886","plasma membrane",1882,20,9.92,"0.00039"
"2","GO:0014802","terminal cisterna",1,1,0.01,"0.00527"
"3","GO:0005882","intermediate filament",26,2,0.14,"0.00811"
"4","GO:0043235","receptor complex",163,4,0.86,"0.01018"
"5","GO:1905202","methylcrotonoyl-CoA carboxylase complex",2,1,0.01,"0.01051"
"6","GO:0005638","lamin filament",3,1,0.02,"0.01572"
"7","GO:0034673","inhibin-betaglycan-ActRII complex",3,1,0.02,"0.01572"
"8","GO:0098686","hippocampal mossy fiber to CA3 synapse",40,2,0.21,"0.01858"
"9","GO:0030314","junctional membrane complex",5,1,0.03,"0.02607"
"10","GO:0014069","postsynaptic density",329,5,1.73,"0.02783"
"11","GO:0005901","caveola",50,2,0.26,"0.02823"
"12","GO:0034451","centriolar satellite",50,2,0.26,"0.02823"
"13","GO:0005911","cell-cell junction",223,4,1.17,"0.02879"
"14","GO:0032279","asymmetric synapse",334,5,1.76,"0.02946"
"15","GO:0099572","postsynaptic specialization",349,5,1.84,"0.03472"
"16","GO:0005652","nuclear lamina",7,1,0.04,"0.03632"
"17","GO:0098837","postsynaptic recycling endosome",7,1,0.04,"0.03632"
"18","GO:0098984","neuron to neuron synapse",354,5,1.87,"0.03659"
"19","GO:0044853","plasma membrane raft",59,2,0.31,"0.03829"
"20","GO:0005887","integral component of plasma membrane",484,6,2.55,"0.03894"
