"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000792","heterochromatin",46,6,1.12,"0.00078"
"2","GO:0005912","adherens junction",78,7,1.89,"0.00271"
"3","GO:0098839","postsynaptic density membrane",79,7,1.92,"0.00291"
"4","GO:0032587","ruffle membrane",43,5,1.04,"0.00361"
"5","GO:0016459","myosin complex",14,3,0.34,"0.00419"
"6","GO:0070695","FHF complex",5,2,0.12,"0.00557"
"7","GO:0150034","distal axon",272,14,6.59,"0.00615"
"8","GO:0030658","transport vesicle membrane",114,8,2.76,"0.00630"
"9","GO:0097165","nuclear stress granule",6,2,0.15,"0.00822"
"10","GO:0005794","Golgi apparatus",794,30,19.25,"0.00863"
"11","GO:0043194","axon initial segment",18,3,0.44,"0.00874"
"12","GO:0070971","endoplasmic reticulum exit site",19,3,0.46,"0.01020"
"13","GO:0097470","ribbon synapse",19,3,0.46,"0.01020"
"14","GO:0098831","presynaptic active zone cytoplasmic component",20,3,0.48,"0.01179"
"15","GO:0099061","integral component of postsynaptic density membrane",58,5,1.41,"0.01285"
"16","GO:0030175","filopodium",58,5,1.41,"0.01285"
"17","GO:0044295","axonal growth cone",39,4,0.95,"0.01418"
"18","GO:0032593","insulin-responsive compartment",8,2,0.19,"0.01487"
"19","GO:0097441","basal dendrite",8,2,0.19,"0.01487"
"20","GO:0044306","neuron projection terminus",135,8,3.27,"0.01657"
