"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:1901021","positive regulation of calcium ion transmembrane transporter activity",20,3,0.12,"0.00024"
"2","GO:0021549","cerebellum development",67,4,0.42,"0.00076"
"3","GO:0071872","cellular response to epinephrine stimulus",7,2,0.04,"0.00078"
"4","GO:0014823","response to activity",8,2,0.05,"0.00104"
"5","GO:0021766","hippocampus development",39,3,0.24,"0.00177"
"6","GO:0021819","layer formation in cerebral cortex",11,2,0.07,"0.00202"
"7","GO:0051932","synaptic transmission, GABAergic",45,3,0.28,"0.00268"
"8","GO:0035372","protein localization to microtubule",13,2,0.08,"0.00284"
"9","GO:0048681","negative regulation of axon regeneration",14,2,0.09,"0.00330"
"10","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol",15,2,0.09,"0.00379"
"11","GO:0060627","regulation of vesicle-mediated transport",328,7,2.05,"0.00383"
"12","GO:0003300","cardiac muscle hypertrophy",52,3,0.32,"0.00405"
"13","GO:0042391","regulation of membrane potential",250,6,1.56,"0.00425"
"14","GO:0060122","inner ear receptor cell stereocilium organization",16,2,0.1,"0.00432"
"15","GO:0048670","regulation of collateral sprouting",17,2,0.11,"0.00487"
"16","GO:0086004","regulation of cardiac muscle cell contraction",19,3,0.12,"0.00522"
"17","GO:0090102","cochlea development",19,2,0.12,"0.00608"
"18","GO:0060384","innervation",19,2,0.12,"0.00608"
"19","GO:0008612","peptidyl-lysine modification to peptidyl-hypusine",1,1,0.01,"0.00624"
"20","GO:0042747","circadian sleep/wake cycle, REM sleep",1,1,0.01,"0.00624"
