"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005615","extracellular space",757,12,1.93,"6.5e-06"
"2","GO:0031232","extrinsic component of external side of plasma membrane",5,2,0.01,"6.3e-05"
"3","GO:0034362","low-density lipoprotein particle",7,2,0.02,"0.00013"
"4","GO:0097450","astrocyte end-foot",9,2,0.02,"0.00022"
"5","GO:0031253","cell projection membrane",242,5,0.62,"0.00034"
"6","GO:0043025","neuronal cell body",622,7,1.58,"0.00083"
"7","GO:0098978","glutamatergic synapse",304,5,0.77,"0.00096"
"8","GO:0031594","neuromuscular junction",82,3,0.21,"0.00116"
"9","GO:0043197","dendritic spine",184,4,0.47,"0.00117"
"10","GO:0009986","cell surface",579,8,1.47,"0.00218"
"11","GO:0031045","dense core granule",28,2,0.07,"0.00228"
"12","GO:0033291","eukaryotic 80S initiation complex",1,1,0,"0.00254"
"13","GO:0045211","postsynaptic membrane",240,4,0.61,"0.00309"
"14","GO:0045202","synapse",1171,16,2.98,"0.00340"
"15","GO:0062023","collagen-containing extracellular matrix",267,4,0.68,"0.00452"
"16","GO:0034365","discoidal high-density lipoprotein particle",2,1,0.01,"0.00508"
"17","GO:0099160","postsynaptic intermediate filament cytoskeleton",2,1,0.01,"0.00508"
"18","GO:0099182","presynaptic intermediate filament cytoskeleton",2,1,0.01,"0.00508"
"19","GO:0005887","integral component of plasma membrane",859,7,2.19,"0.00521"
"20","GO:0031256","leading edge membrane",139,3,0.35,"0.00521"
