"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022627","cytosolic small ribosomal subunit",45,16,1.19,"1.3e-14"
"2","GO:0022625","cytosolic large ribosomal subunit",53,12,1.4,"9.9e-09"
"3","GO:0014069","postsynaptic density",316,29,8.36,"1.1e-06"
"4","GO:0098982","GABA-ergic synapse",67,11,1.77,"1.3e-06"
"5","GO:0043197","dendritic spine",190,17,5.02,"1.2e-05"
"6","GO:0098978","glutamatergic synapse",309,22,8.17,"2.6e-05"
"7","GO:0060077","inhibitory synapse",27,6,0.71,"6.1e-05"
"8","GO:0005791","rough endoplasmic reticulum",68,9,1.8,"7.1e-05"
"9","GO:0045202","synapse",1191,88,31.5,"0.00011"
"10","GO:0030285","integral component of synaptic vesicle membrane",19,5,0.5,"0.00011"
"11","GO:0099061","integral component of postsynaptic density membrane",38,6,1,"0.00044"
"12","GO:0043209","myelin sheath",196,14,5.18,"0.00073"
"13","GO:0005794","Golgi apparatus",1275,52,33.72,"0.00107"
"14","GO:0048786","presynaptic active zone",72,10,1.9,"0.00120"
"15","GO:0098685","Schaffer collateral - CA1 synapse",80,8,2.12,"0.00122"
"16","GO:0043194","axon initial segment",19,4,0.5,"0.00136"
"17","GO:0055038","recycling endosome membrane",48,6,1.27,"0.00158"
"18","GO:0099144","anchored component of synaptic membrane",10,3,0.26,"0.00192"
"19","GO:0042788","polysomal ribosome",35,5,0.93,"0.00213"
"20","GO:0045211","postsynaptic membrane",245,19,6.48,"0.00311"
