"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022625","cytosolic large ribosomal subunit",53,30,2.08,"8.8e-29"
"2","GO:0022627","cytosolic small ribosomal subunit",45,24,1.77,"2.0e-22"
"3","GO:0042788","polysomal ribosome",35,20,1.37,"1.1e-19"
"4","GO:0043209","myelin sheath",199,40,7.82,"7.9e-18"
"5","GO:0098978","glutamatergic synapse",311,43,12.22,"5.4e-13"
"6","GO:0045202","synapse",1216,154,47.77,"5.7e-12"
"7","GO:0014069","postsynaptic density",319,41,12.53,"2.1e-11"
"8","GO:0043025","neuronal cell body",670,63,26.32,"9.7e-11"
"9","GO:0030424","axon",678,77,26.63,"5.8e-09"
"10","GO:0098982","GABA-ergic synapse",68,14,2.67,"3.1e-07"
"11","GO:0098793","presynapse",464,51,18.23,"1.6e-06"
"12","GO:0030426","growth cone",192,27,7.54,"3.8e-06"
"13","GO:0030425","dendrite",683,63,26.83,"7.5e-05"
"14","GO:0045121","membrane raft",348,29,13.67,"0.00012"
"15","GO:0034362","low-density lipoprotein particle",8,4,0.31,"0.00015"
"16","GO:0043005","neuron projection",1386,142,54.45,"0.00016"
"17","GO:0110165","cellular anatomical entity",13568,580,532.98,"0.00019"
"18","GO:0099699","integral component of synaptic membrane",105,13,4.12,"0.00024"
"19","GO:0032590","dendrite membrane",46,8,1.81,"0.00038"
"20","GO:0031594","neuromuscular junction",85,11,3.34,"0.00048"
