"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043524","negative regulation of neuron apoptotic process",172,13,3.18,"1.9e-05"
"2","GO:0010001","glial cell differentiation",230,15,4.25,"2.5e-05"
"3","GO:0045664","regulation of neuron differentiation",209,15,3.86,"0.00011"
"4","GO:0045944","positive regulation of transcription by RNA polymerase II",1014,36,18.74,"0.00012"
"5","GO:0032489","regulation of Cdc42 protein signal transduction",7,3,0.13,"0.00021"
"6","GO:0002181","cytoplasmic translation",90,8,1.66,"0.00026"
"7","GO:0046314","phosphocreatine biosynthetic process",2,2,0.04,"0.00034"
"8","GO:1902340","negative regulation of chromosome condensation",2,2,0.04,"0.00034"
"9","GO:0048485","sympathetic nervous system development",19,4,0.35,"0.00036"
"10","GO:0050769","positive regulation of neurogenesis",276,14,5.1,"0.00064"
"11","GO:0061621","canonical glycolysis",10,3,0.18,"0.00068"
"12","GO:2000288","positive regulation of myoblast proliferation",10,3,0.18,"0.00068"
"13","GO:0000122","negative regulation of transcription by RNA polymerase II",796,28,14.71,"0.00082"
"14","GO:2000173","negative regulation of branching morphogenesis of a nerve",3,2,0.06,"0.00101"
"15","GO:0045105","intermediate filament polymerization or depolymerization",3,2,0.06,"0.00101"
"16","GO:0033693","neurofilament bundle assembly",3,2,0.06,"0.00101"
"17","GO:0002344","B cell affinity maturation",3,2,0.06,"0.00101"
"18","GO:0014043","negative regulation of neuron maturation",3,2,0.06,"0.00101"
"19","GO:0090026","positive regulation of monocyte chemotaxis",12,3,0.22,"0.00121"
"20","GO:0040034","regulation of development, heterochronic",12,3,0.22,"0.00121"
