"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",156,29,5.27,"4.8e-14"
"2","GO:0005516","calmodulin binding",163,17,5.5,"3.7e-05"
"3","GO:1990948","ubiquitin ligase inhibitor activity",8,4,0.27,"8.1e-05"
"4","GO:0045295","gamma-catenin binding",10,4,0.34,"0.00023"
"5","GO:0005509","calcium ion binding",456,29,15.39,"0.00083"
"6","GO:0051117","ATPase binding",92,10,3.11,"0.00106"
"7","GO:0019901","protein kinase binding",665,38,22.45,"0.00107"
"8","GO:0045296","cadherin binding",62,8,2.09,"0.00108"
"9","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential",37,6,1.25,"0.00137"
"10","GO:0070180","large ribosomal subunit rRNA binding",8,3,0.27,"0.00189"
"11","GO:0099528","G protein-coupled neurotransmitter receptor activity",8,3,0.27,"0.00189"
"12","GO:0050839","cell adhesion molecule binding",238,22,8.03,"0.00232"
"13","GO:0048306","calcium-dependent protein binding",70,8,2.36,"0.00240"
"14","GO:0098919","structural constituent of postsynaptic density",9,3,0.3,"0.00276"
"15","GO:0042288","MHC class I protein binding",19,4,0.64,"0.00332"
"16","GO:0050998","nitric-oxide synthase binding",19,4,0.64,"0.00332"
"17","GO:0008092","cytoskeletal protein binding",858,44,28.97,"0.00366"
"18","GO:0015464","acetylcholine receptor activity",10,3,0.34,"0.00384"
"19","GO:0044325","transmembrane transporter binding",128,11,4.32,"0.00404"
"20","GO:0005261","cation channel activity",233,16,7.87,"0.00573"
