"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0099054","presynapse assembly",49,2,0.04,"0.00081"
"2","GO:0051966","regulation of synaptic transmission, glutamatergic",66,2,0.06,"0.00147"
"3","GO:1902340","negative regulation of chromosome condensation",2,1,0,"0.00176"
"4","GO:0033693","neurofilament bundle assembly",3,1,0,"0.00263"
"5","GO:0045105","intermediate filament polymerization or depolymerization",3,1,0,"0.00263"
"6","GO:0007196","adenylate cyclase-inhibiting G protein-coupled glutamate rec...",3,1,0,"0.00263"
"7","GO:0014012","peripheral nervous system axon regeneration",4,1,0,"0.00351"
"8","GO:0090230","regulation of centromere complex assembly",4,1,0,"0.00351"
"9","GO:0014050","negative regulation of glutamate secretion",5,1,0,"0.00438"
"10","GO:0031133","regulation of axon diameter",5,1,0,"0.00438"
"11","GO:1903935","response to sodium arsenite",5,1,0,"0.00438"
"12","GO:0031508","pericentric heterochromatin assembly",5,1,0,"0.00438"
"13","GO:0001661","conditioned taste aversion",5,1,0,"0.00438"
"14","GO:0007605","sensory perception of sound",120,2,0.11,"0.00477"
"15","GO:0031509","subtelomeric heterochromatin assembly",6,1,0.01,"0.00526"
"16","GO:0070327","thyroid hormone transport",7,1,0.01,"0.00613"
"17","GO:0050905","neuromuscular process",151,2,0.13,"0.00745"
"18","GO:0043524","negative regulation of neuron apoptotic process",160,2,0.14,"0.00833"
"19","GO:1900454","positive regulation of long-term synaptic depression",10,1,0.01,"0.00875"
"20","GO:0021707","cerebellar granule cell differentiation",10,1,0.01,"0.00875"
