"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:1904315","transmitter-gated ion channel activity involved in regulatio...",41,2,0.04,"0.00069"
"2","GO:0099184","structural constituent of postsynaptic intermediate filament...",3,1,0,"0.00288"
"3","GO:0001642","group III metabotropic glutamate receptor activity",3,1,0,"0.00288"
"4","GO:0010855","adenylate cyclase inhibitor activity",3,1,0,"0.00288"
"5","GO:0004971","AMPA glutamate receptor activity",4,1,0,"0.00384"
"6","GO:0070905","serine binding",4,1,0,"0.00384"
"7","GO:0030165","PDZ domain binding",104,2,0.1,"0.00433"
"8","GO:0070324","thyroid hormone binding",6,1,0.01,"0.00576"
"9","GO:0031492","nucleosomal DNA binding",8,1,0.01,"0.00767"
"10","GO:0072542","protein phosphatase activator activity",12,1,0.01,"0.01149"
"11","GO:0004970","ionotropic glutamate receptor activity",17,2,0.02,"0.01149"
"12","GO:0016595","glutamate binding",14,1,0.01,"0.01339"
"13","GO:0008066","glutamate receptor activity",24,3,0.02,"0.01376"
"14","GO:0004190","aspartic-type endopeptidase activity",17,1,0.02,"0.01624"
"15","GO:0070001","aspartic-type peptidase activity",17,1,0.02,"0.01624"
"16","GO:0019211","phosphatase activator activity",19,1,0.02,"0.01813"
"17","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",19,1,0.02,"0.01813"
"18","GO:0043274","phospholipase binding",23,1,0.02,"0.02191"
"19","GO:0042802","identical protein binding",1841,5,1.77,"0.02327"
"20","GO:0098632","cell-cell adhesion mediator activity",26,1,0.03,"0.02473"
