"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0072272","proximal/distal pattern formation involved in metanephric nephron development",2,2,0.02,"0.00010"
"2","GO:0035249","synaptic transmission, glutamatergic",101,6,1.02,"0.00057"
"3","GO:0072086","specification of loop of Henle identity",4,2,0.04,"0.00061"
"4","GO:0019896","axonal transport of mitochondrion",17,3,0.17,"0.00063"
"5","GO:0030182","neuron differentiation",1379,33,13.99,"0.00126"
"6","GO:0048485","sympathetic nervous system development",22,3,0.22,"0.00137"
"7","GO:0003211","cardiac ventricle formation",6,2,0.06,"0.00149"
"8","GO:0001841","neural tube formation",125,6,1.27,"0.00172"
"9","GO:0008090","retrograde axonal transport",24,3,0.24,"0.00177"
"10","GO:1901798","positive regulation of signal transduction by p53 class mediator",24,3,0.24,"0.00177"
"11","GO:0000027","ribosomal large subunit assembly",24,3,0.24,"0.00177"
"12","GO:1990048","anterograde neuronal dense core vesicle transport",7,2,0.07,"0.00208"
"13","GO:0002840","regulation of T cell mediated immune response to tumor cell",7,2,0.07,"0.00208"
"14","GO:0090261","positive regulation of inclusion body assembly",7,2,0.07,"0.00208"
"15","GO:0002181","cytoplasmic translation",90,5,0.91,"0.00221"
"16","GO:0007406","negative regulation of neuroblast proliferation",8,2,0.08,"0.00275"
"17","GO:0055082","cellular chemical homeostasis",646,17,6.55,"0.00296"
"18","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",30,3,0.3,"0.00340"
"19","GO:0003357","noradrenergic neuron differentiation",9,2,0.09,"0.00351"
"20","GO:0072017","distal tubule development",9,2,0.09,"0.00351"
