"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022627","cytosolic small ribosomal subunit",46,7,0.48,"4.5e-07"
"2","GO:0022625","cytosolic large ribosomal subunit",53,6,0.55,"1.8e-05"
"3","GO:0043005","neuron projection",1350,33,14.09,"2.5e-05"
"4","GO:0043209","myelin sheath",200,10,2.09,"4.7e-05"
"5","GO:0045202","synapse",1201,36,12.53,"7.0e-05"
"6","GO:0005615","extracellular space",865,21,9.03,"0.00025"
"7","GO:0042788","polysomal ribosome",35,4,0.37,"0.00046"
"8","GO:0043025","neuronal cell body",658,17,6.87,"0.00051"
"9","GO:0005871","kinesin complex",48,4,0.5,"0.00155"
"10","GO:0014069","postsynaptic density",318,10,3.32,"0.00186"
"11","GO:0031232","extrinsic component of external side of plasma membrane",7,2,0.07,"0.00220"
"12","GO:0005874","microtubule",389,11,4.06,"0.00257"
"13","GO:0097440","apical dendrite",29,3,0.3,"0.00334"
"14","GO:0098978","glutamatergic synapse",309,9,3.22,"0.00516"
"15","GO:0005883","neurofilament",11,2,0.11,"0.00559"
"16","GO:0098793","presynapse",457,11,4.77,"0.00847"
"17","GO:0070992","translation initiation complex",1,1,0.01,"0.01044"
"18","GO:0031475","myosin V complex",1,1,0.01,"0.01044"
"19","GO:0033291","eukaryotic 80S initiation complex",1,1,0.01,"0.01044"
"20","GO:0150014","apical distal dendrite",1,1,0.01,"0.01044"
