"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",157,13,1.63,"9.0e-09"
"2","GO:1990948","ubiquitin ligase inhibitor activity",8,3,0.08,"5.9e-05"
"3","GO:0016868","intramolecular transferase activity, phosphotransferases",9,3,0.09,"8.8e-05"
"4","GO:0010858","calcium-dependent protein kinase regulator activity",4,2,0.04,"0.00063"
"5","GO:0005200","structural constituent of cytoskeleton",53,4,0.55,"0.00220"
"6","GO:0001640","adenylate cyclase inhibiting G protein-coupled glutamate receptor activity",8,2,0.08,"0.00288"
"7","GO:0005504","fatty acid binding",33,3,0.34,"0.00476"
"8","GO:0008201","heparin binding",108,5,1.12,"0.00534"
"9","GO:0097371","MDM2/MDM4 family protein binding",11,2,0.11,"0.00554"
"10","GO:0016835","carbon-oxygen lyase activity",70,4,0.73,"0.00602"
"11","GO:0019843","rRNA binding",71,4,0.74,"0.00633"
"12","GO:0097110","scaffold protein binding",78,4,0.81,"0.00878"
"13","GO:0008301","DNA binding, bending",14,2,0.15,"0.00897"
"14","GO:0005509","calcium ion binding",467,11,4.85,"0.00948"
"15","GO:0004807","triose-phosphate isomerase activity",1,1,0.01,"0.01038"
"16","GO:0047933","glucose-1,6-bisphosphate synthase activity",1,1,0.01,"0.01038"
"17","GO:0008973","phosphopentomutase activity",1,1,0.01,"0.01038"
"18","GO:0008929","methylglyoxal synthase activity",1,1,0.01,"0.01038"
"19","GO:0000401","open form four-way junction DNA binding",1,1,0.01,"0.01038"
"20","GO:0000402","crossed form four-way junction DNA binding",1,1,0.01,"0.01038"
