"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0099560","synaptic membrane adhesion",34,6,0.48,"6.9e-06"
"2","GO:1905606","regulation of presynapse assembly",36,6,0.51,"9.8e-06"
"3","GO:0035235","ionotropic glutamate receptor signaling pathway",14,4,0.2,"3.4e-05"
"4","GO:0006412","translation",562,21,7.9,"4.3e-05"
"5","GO:1902340","negative regulation of chromosome condensation",2,2,0.03,"0.00020"
"6","GO:1901898","negative regulation of relaxation of cardiac muscle",2,2,0.03,"0.00020"
"7","GO:0007612","learning",163,9,2.29,"0.00050"
"8","GO:0060730","regulation of intestinal epithelial structure maintenance",3,2,0.04,"0.00058"
"9","GO:0051965","positive regulation of synapse assembly",76,6,1.07,"0.00069"
"10","GO:0042462","eye photoreceptor cell development",30,4,0.42,"0.00078"
"11","GO:0051968","positive regulation of synaptic transmission, glutamatergic",31,4,0.44,"0.00088"
"12","GO:0099151","regulation of postsynaptic density assembly",14,3,0.2,"0.00089"
"13","GO:0097116","gephyrin clustering involved in postsynaptic density assembl...",4,2,0.06,"0.00116"
"14","GO:0015671","oxygen transport",4,2,0.06,"0.00116"
"15","GO:0060134","prepulse inhibition",16,3,0.22,"0.00134"
"16","GO:0006336","DNA replication-independent nucleosome assembly",18,3,0.25,"0.00191"
"17","GO:0031508","pericentric heterochromatin assembly",5,2,0.07,"0.00191"
"18","GO:0051124","synaptic assembly at neuromuscular junction",5,2,0.07,"0.00191"
"19","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecu...",95,6,1.34,"0.00220"
"20","GO:0048485","sympathetic nervous system development",19,3,0.27,"0.00224"
