"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0022627","cytosolic small ribosomal subunit",45,11,0.64,"2.3e-11"
"2","GO:0022625","cytosolic large ribosomal subunit",54,9,0.76,"5.8e-08"
"3","GO:0098978","glutamatergic synapse",308,19,4.35,"7.7e-08"
"4","GO:0099061","integral component of postsynaptic density membrane",38,6,0.54,"1.4e-05"
"5","GO:0099026","anchored component of presynaptic membrane",6,3,0.08,"5.4e-05"
"6","GO:0098685","Schaffer collateral - CA1 synapse",81,7,1.14,"0.00015"
"7","GO:0098982","GABA-ergic synapse",67,6,0.95,"0.00036"
"8","GO:0043197","dendritic spine",190,10,2.69,"0.00037"
"9","GO:0048786","presynaptic active zone",71,6,1,"0.00049"
"10","GO:0043209","myelin sheath",198,10,2.8,"0.00052"
"11","GO:0045211","postsynaptic membrane",246,16,3.48,"0.00061"
"12","GO:0043025","neuronal cell body",648,20,9.16,"0.00087"
"13","GO:0016012","sarcoglycan complex",4,2,0.06,"0.00117"
"14","GO:0030424","axon",663,26,9.37,"0.00117"
"15","GO:0042734","presynaptic membrane",123,10,1.74,"0.00125"
"16","GO:0042788","polysomal ribosome",35,4,0.49,"0.00144"
"17","GO:0045202","synapse",1196,51,16.9,"0.00147"
"18","GO:0008021","synaptic vesicle",190,9,2.69,"0.00153"
"19","GO:0098797","plasma membrane protein complex",426,18,6.02,"0.00192"
"20","GO:0031838","haptoglobin-hemoglobin complex",5,2,0.07,"0.00193"
