"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0001764","neuron migration",167,53,27.12,"4.7e-07"
"2","GO:0048025","negative regulation of mRNA splicing, via spliceosome",23,13,3.74,"1.2e-05"
"3","GO:0097119","postsynaptic density protein 95 clustering",10,8,1.62,"1.6e-05"
"4","GO:0061003","positive regulation of dendritic spine morphogenesis",27,14,4.38,"2.1e-05"
"5","GO:0071277","cellular response to calcium ion",68,25,11.04,"3.3e-05"
"6","GO:0006412","translation",539,142,87.53,"3.7e-05"
"7","GO:0002181","cytoplasmic translation",85,29,13.8,"4.1e-05"
"8","GO:0006886","intracellular protein transport",856,196,139.01,"0.00013"
"9","GO:0007409","axonogenesis",419,104,68.05,"0.00021"
"10","GO:0035249","synaptic transmission, glutamatergic",100,35,16.24,"0.00027"
"11","GO:0098974","postsynaptic actin cytoskeleton organization",16,9,2.6,"0.00030"
"12","GO:0010638","positive regulation of organelle organization",516,113,83.8,"0.00038"
"13","GO:0060074","synapse maturation",30,13,4.87,"0.00041"
"14","GO:0048167","regulation of synaptic plasticity",220,55,35.73,"0.00052"
"15","GO:0097118","neuroligin clustering involved in postsynaptic membrane assembly",4,4,0.65,"0.00069"
"16","GO:0006376","mRNA splice site selection",26,14,4.22,"0.00077"
"17","GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane",15,8,2.44,"0.00105"
"18","GO:0044089","positive regulation of cellular component biogenesis",471,102,76.49,"0.00106"
"19","GO:0051220","cytoplasmic sequestering of protein",22,10,3.57,"0.00122"
"20","GO:0001662","behavioral fear response",49,17,7.96,"0.00125"
