"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000062","fatty-acyl-CoA binding",1,0,0,"1"
"2","GO:0000064","L-ornithine transmembrane transporter activity",1,0,0,"1"
"3","GO:0000146","microfilament motor activity",1,0,0,"1"
"4","GO:0000149","SNARE binding",2,0,0,"1"
"5","GO:0000166","nucleotide binding",72,0,0,"1"
"6","GO:0000217","DNA secondary structure binding",1,0,0,"1"
"7","GO:0000287","magnesium ion binding",2,0,0,"1"
"8","GO:0000822","inositol hexakisphosphate binding",1,0,0,"1"
"9","GO:0000828","inositol hexakisphosphate kinase activity",1,0,0,"1"
"10","GO:0000829","inositol heptakisphosphate kinase activity",1,0,0,"1"
"11","GO:0000832","inositol hexakisphosphate 5-kinase activity",1,0,0,"1"
"12","GO:0000976","transcription regulatory region sequence-specific DNA bindin...",29,0,0,"1"
"13","GO:0000977","RNA polymerase II transcription regulatory region sequence-s...",27,0,0,"1"
"14","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",25,0,0,"1"
"15","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",2,0,0,"1"
"16","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II...",22,0,0,"1"
"17","GO:0000987","cis-regulatory region sequence-specific DNA binding",25,0,0,"1"
"18","GO:0000993","RNA polymerase II complex binding",2,0,0,"1"
"19","GO:0001016","RNA polymerase III transcription regulatory region sequence-...",1,0,0,"1"
"20","GO:0001046","core promoter sequence-specific DNA binding",2,0,0,"1"
