"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043209","myelin sheath",199,44,10.07,"4.9e-17"
"2","GO:0022625","cytosolic large ribosomal subunit",53,13,2.68,"1.6e-06"
"3","GO:0005790","smooth endoplasmic reticulum",36,8,1.82,"0.00035"
"4","GO:0005829","cytosol",3114,205,157.57,"0.00044"
"5","GO:0005794","Golgi apparatus",1259,90,63.7,"0.00045"
"6","GO:0045202","synapse",1327,111,67.15,"0.00046"
"7","GO:0030426","growth cone",200,22,10.12,"0.00051"
"8","GO:0043005","neuron projection",1347,110,68.16,"0.00052"
"9","GO:0098796","membrane protein complex",947,84,47.92,"0.00073"
"10","GO:0031301","integral component of organelle membrane",330,30,16.7,"0.00139"
"11","GO:0005744","TIM23 mitochondrial import inner membrane translocase complex",11,4,0.56,"0.00161"
"12","GO:0098945","intrinsic component of presynaptic active zone membrane",27,6,1.37,"0.00195"
"13","GO:0043231","intracellular membrane-bounded organelle",8609,496,435.61,"0.00214"
"14","GO:0030672","synaptic vesicle membrane",113,16,5.72,"0.00216"
"15","GO:0005762","mitochondrial large ribosomal subunit",58,9,2.93,"0.00237"
"16","GO:0044305","calyx of Held",28,6,1.42,"0.00238"
"17","GO:0000308","cytoplasmic cyclin-dependent protein kinase holoenzyme complex",2,2,0.1,"0.00256"
"18","GO:0098800","inner mitochondrial membrane protein complex",108,16,5.46,"0.00339"
"19","GO:0031966","mitochondrial membrane",535,52,27.07,"0.00342"
"20","GO:0031984","organelle subcompartment",844,63,42.71,"0.00352"
