"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",148,25,7.34,"6.7e-08"
"2","GO:0050998","nitric-oxide synthase binding",19,9,0.94,"1.0e-07"
"3","GO:0048306","calcium-dependent protein binding",62,13,3.08,"8.6e-06"
"4","GO:0045294","alpha-catenin binding",8,4,0.4,"0.00036"
"5","GO:0030235","nitric-oxide synthase regulator activity",8,4,0.4,"0.00036"
"6","GO:0031800","type 3 metabotropic glutamate receptor binding",4,3,0.2,"0.00047"
"7","GO:0098973","structural constituent of postsynaptic actin cytoskeleton",4,3,0.2,"0.00047"
"8","GO:0019899","enzyme binding",1893,129,93.93,"0.00103"
"9","GO:0050839","cell adhesion molecule binding",230,23,11.41,"0.00110"
"10","GO:0047391","alkylglycerophosphoethanolamine phosphodiesterase activity",5,3,0.25,"0.00113"
"11","GO:0019828","aspartic-type endopeptidase inhibitor activity",5,3,0.25,"0.00113"
"12","GO:0001540","amyloid-beta binding",54,9,2.68,"0.00124"
"13","GO:0030507","spectrin binding",26,6,1.29,"0.00143"
"14","GO:0043008","ATP-dependent protein binding",11,4,0.55,"0.00150"
"15","GO:0044325","ion channel binding",128,15,6.35,"0.00168"
"16","GO:0047066","phospholipid-hydroperoxide glutathione peroxidase activity",2,2,0.1,"0.00246"
"17","GO:0008022","protein C-terminus binding",216,21,10.72,"0.00251"
"18","GO:0015631","tubulin binding",333,28,16.52,"0.00452"
"19","GO:0001671","ATPase activator activity",24,5,1.19,"0.00573"
"20","GO:0019894","kinesin binding",46,7,2.28,"0.00710"
