"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000166","nucleotide binding",13,0,0,"1"
"2","GO:0000287","magnesium ion binding",1,0,0,"1"
"3","GO:0000976","transcription regulatory region sequence-specific DNA bindin...",6,0,0,"1"
"4","GO:0000977","RNA polymerase II transcription regulatory region sequence-s...",6,0,0,"1"
"5","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",6,0,0,"1"
"6","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",1,0,0,"1"
"7","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II...",4,0,0,"1"
"8","GO:0000987","cis-regulatory region sequence-specific DNA binding",6,0,0,"1"
"9","GO:0001046","core promoter sequence-specific DNA binding",1,0,0,"1"
"10","GO:0001067","regulatory region nucleic acid binding",7,0,0,"1"
"11","GO:0001069","regulatory region RNA binding",1,0,0,"1"
"12","GO:0001102","RNA polymerase II activating transcription factor binding",1,0,0,"1"
"13","GO:0001217","DNA-binding transcription repressor activity",2,0,0,"1"
"14","GO:0001221","transcription coregulator binding",2,0,0,"1"
"15","GO:0001222","transcription corepressor binding",2,0,0,"1"
"16","GO:0001224","RNA polymerase II transcription coregulator binding",1,0,0,"1"
"17","GO:0001226","RNA polymerase II transcription corepressor binding",1,0,0,"1"
"18","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase...",2,0,0,"1"
"19","GO:0001540","amyloid-beta binding",2,0,0,"1"
"20","GO:0001640","adenylate cyclase inhibiting G protein-coupled glutamate rec...",1,0,0,"1"
