"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0032272","negative regulation of protein polymerization",62,2,0.03,"0.00026"
"2","GO:0090024","negative regulation of neutrophil chemotaxis",1,1,0,"0.00042"
"3","GO:0021972","corticospinal neuron axon guidance through spinal cord",1,1,0,"0.00042"
"4","GO:0090260","negative regulation of retinal ganglion cell axon guidance",1,1,0,"0.00042"
"5","GO:0050929","induction of negative chemotaxis",1,1,0,"0.00042"
"6","GO:0071672","negative regulation of smooth muscle cell chemotaxis",2,1,0,"0.00083"
"7","GO:0015866","ADP transport",2,1,0,"0.00083"
"8","GO:0021836","chemorepulsion involved in postnatal olfactory bulb interneuron migration",2,1,0,"0.00083"
"9","GO:2000277","positive regulation of oxidative phosphorylation uncoupler activity",2,1,0,"0.00083"
"10","GO:0090027","negative regulation of monocyte chemotaxis",3,1,0,"0.00125"
"11","GO:0010593","negative regulation of lamellipodium assembly",3,1,0,"0.00125"
"12","GO:0033563","dorsal/ventral axon guidance",3,1,0,"0.00125"
"13","GO:1902109","negative regulation of mitochondrial membrane permeability involved in apoptotic process",3,1,0,"0.00125"
"14","GO:0071504","cellular response to heparin",3,1,0,"0.00125"
"15","GO:0045901","positive regulation of translational elongation",4,1,0,"0.00166"
"16","GO:0035522","monoubiquitinated histone H2A deubiquitination",4,1,0,"0.00166"
"17","GO:0070537","histone H2A K63-linked deubiquitination",4,1,0,"0.00166"
"18","GO:0060763","mammary duct terminal end bud growth",5,1,0,"0.00208"
"19","GO:0035385","Roundabout signaling pathway",6,1,0,"0.00249"
"20","GO:0070100","negative regulation of chemokine-mediated signaling pathway",6,1,0,"0.00249"
