"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005741","mitochondrial outer membrane",150,2,0.06,"0.0014"
"2","GO:0043209","myelin sheath",192,2,0.08,"0.0023"
"3","GO:0005757","mitochondrial permeability transition pore complex",6,1,0,"0.0024"
"4","GO:0046930","pore complex",18,2,0.01,"0.0039"
"5","GO:0045121","membrane raft",281,2,0.11,"0.0050"
"6","GO:0005743","mitochondrial inner membrane",360,2,0.15,"0.0080"
"7","GO:0009295","nucleoid",45,1,0.02,"0.0181"
"8","GO:0042645","mitochondrial nucleoid",45,1,0.02,"0.0181"
"9","GO:0022625","cytosolic large ribosomal subunit",52,1,0.02,"0.0209"
"10","GO:0001669","acrosomal vesicle",58,1,0.02,"0.0233"
"11","GO:0022626","cytosolic ribosome",98,1,0.04,"0.0391"
"12","GO:0015934","large ribosomal subunit",109,1,0.04,"0.0435"
"13","GO:0044391","ribosomal subunit",176,1,0.07,"0.0694"
"14","GO:0008021","synaptic vesicle",179,1,0.07,"0.0706"
"15","GO:0070382","exocytic vesicle",196,1,0.08,"0.0770"
"16","GO:0062023","collagen-containing extracellular matrix",204,1,0.08,"0.0801"
"17","GO:0005840","ribosome",208,1,0.08,"0.0816"
"18","GO:0030141","secretory granule",215,1,0.09,"0.0843"
"19","GO:0005759","mitochondrial matrix",247,1,0.1,"0.0963"
"20","GO:0030133","transport vesicle",269,1,0.11,"0.1045"
