"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0005741","mitochondrial outer membrane",145,2,0.06,"0.0014"
"2","GO:0043209","myelin sheath",191,2,0.08,"0.0024"
"3","GO:0045121","membrane raft",277,2,0.11,"0.0050"
"4","GO:0046930","pore complex",16,1,0.01,"0.0066"
"5","GO:0005743","mitochondrial inner membrane",357,2,0.15,"0.0082"
"6","GO:0009295","nucleoid",44,1,0.02,"0.0181"
"7","GO:0042645","mitochondrial nucleoid",44,1,0.02,"0.0181"
"8","GO:0022625","cytosolic large ribosomal subunit",52,1,0.02,"0.0214"
"9","GO:0001669","acrosomal vesicle",58,1,0.02,"0.0238"
"10","GO:0022626","cytosolic ribosome",98,1,0.04,"0.0399"
"11","GO:0015934","large ribosomal subunit",110,1,0.05,"0.0447"
"12","GO:0044391","ribosomal subunit",177,1,0.07,"0.0712"
"13","GO:0062023","collagen-containing extracellular matrix",205,1,0.08,"0.0821"
"14","GO:0005840","ribosome",207,1,0.09,"0.0829"
"15","GO:0008021","synaptic vesicle",211,1,0.09,"0.0844"
"16","GO:0030141","secretory granule",211,1,0.09,"0.0844"
"17","GO:0070382","exocytic vesicle",227,1,0.09,"0.0906"
"18","GO:0005759","mitochondrial matrix",242,1,0.1,"0.0963"
"19","GO:0031012","extracellular matrix",275,1,0.11,"0.1088"
"20","GO:0030312","external encapsulating structure",275,1,0.11,"0.1088"
