"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000166","nucleotide binding",1,0,0,"1"
"2","GO:0003674","molecular_function",5,0,0,"1"
"3","GO:0003712","transcription coregulator activity",1,0,0,"1"
"4","GO:0003713","transcription coactivator activity",1,0,0,"1"
"5","GO:0003735","structural constituent of ribosome",1,0,0,"1"
"6","GO:0003824","catalytic activity",1,0,0,"1"
"7","GO:0004175","endopeptidase activity",1,0,0,"1"
"8","GO:0004197","cysteine-type endopeptidase activity",1,0,0,"1"
"9","GO:0004843","thiol-dependent ubiquitin-specific protease activity",1,0,0,"1"
"10","GO:0004857","enzyme inhibitor activity",1,0,0,"1"
"11","GO:0005095","GTPase inhibitor activity",1,0,0,"1"
"12","GO:0005102","signaling receptor binding",1,0,0,"1"
"13","GO:0005198","structural molecule activity",2,0,0,"1"
"14","GO:0005201","extracellular matrix structural constituent",1,0,0,"1"
"15","GO:0005215","transporter activity",2,0,0,"1"
"16","GO:0005216","ion channel activity",1,0,0,"1"
"17","GO:0005244","voltage-gated ion channel activity",1,0,0,"1"
"18","GO:0005253","anion channel activity",1,0,0,"1"
"19","GO:0005488","binding",4,0,0,"1"
"20","GO:0005496","steroid binding",1,0,0,"1"
