"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0043209","myelin sheath",197,37,8.39,"1.7e-14"
"2","GO:0005762","mitochondrial large ribosomal subunit",58,13,2.47,"7.2e-07"
"3","GO:0098978","glutamatergic synapse",308,30,13.12,"2.2e-05"
"4","GO:0022625","cytosolic large ribosomal subunit",53,10,2.26,"6.8e-05"
"5","GO:0030426","growth cone",192,21,8.18,"7.1e-05"
"6","GO:0043231","intracellular membrane-bounded organelle",9100,454,387.57,"0.00022"
"7","GO:0005747","mitochondrial respiratory chain complex I",40,8,1.7,"0.00024"
"8","GO:0005737","cytoplasm",9020,456,384.16,"0.00042"
"9","GO:0022627","cytosolic small ribosomal subunit",45,8,1.92,"0.00055"
"10","GO:0001405","PAM complex, Tim23 associated import motor",5,3,0.21,"0.00072"
"11","GO:0000275","mitochondrial proton-transporting ATP synthase complex, cata...",5,3,0.21,"0.00072"
"12","GO:0043679","axon terminus",161,16,6.86,"0.00142"
"13","GO:0045202","synapse",1194,92,50.85,"0.00173"
"14","GO:0005794","Golgi apparatus",1270,75,54.09,"0.00220"
"15","GO:0045277","respiratory chain complex IV",14,4,0.6,"0.00232"
"16","GO:0005787","signal peptidase complex",7,3,0.3,"0.00237"
"17","GO:0033179","proton-transporting V-type ATPase, V0 domain",7,3,0.3,"0.00237"
"18","GO:0061617","MICOS complex",7,3,0.3,"0.00237"
"19","GO:1904115","axon cytoplasm",7,3,0.3,"0.00237"
"20","GO:1990904","ribonucleoprotein complex",653,65,27.81,"0.00258"
