"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",157,29,6.57,"1.2e-11"
"2","GO:0001671","ATPase activator activity",23,8,0.96,"2.5e-06"
"3","GO:0050998","nitric-oxide synthase binding",19,6,0.8,"8.9e-05"
"4","GO:0004866","endopeptidase inhibitor activity",78,11,3.27,"0.00038"
"5","GO:0003723","RNA binding",1019,72,42.66,"0.00055"
"6","GO:0036002","pre-mRNA binding",36,7,1.51,"0.00063"
"7","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",37,7,1.55,"0.00075"
"8","GO:0005234","extracellularly glutamate-gated ion channel activity",6,3,0.25,"0.00133"
"9","GO:0030550","acetylcholine receptor inhibitor activity",6,3,0.25,"0.00133"
"10","GO:0043022","ribosome binding",65,9,2.72,"0.00146"
"11","GO:0016209","antioxidant activity",55,8,2.3,"0.00193"
"12","GO:0001540","amyloid-beta binding",56,8,2.34,"0.00217"
"13","GO:0030235","nitric-oxide synthase regulator activity",7,3,0.29,"0.00225"
"14","GO:0005246","calcium channel regulator activity",35,6,1.47,"0.00302"
"15","GO:0097001","ceramide binding",16,4,0.67,"0.00370"
"16","GO:0005515","protein binding",7187,348,300.89,"0.00429"
"17","GO:0048306","calcium-dependent protein binding",63,8,2.64,"0.00458"
"18","GO:0003746","translation elongation factor activity",17,4,0.71,"0.00468"
"19","GO:0019904","protein domain specific binding",721,45,30.19,"0.00477"
"20","GO:0031432","titin binding",9,3,0.38,"0.00508"
