"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0150111","regulation of transepithelial transport",2,2,0,"2.2e-06"
"2","GO:0048488","synaptic vesicle endocytosis",64,4,0.1,"2.3e-06"
"3","GO:0048024","regulation of mRNA splicing, via spliceosome",94,3,0.14,"0.00037"
"4","GO:0072749","cellular response to cytochalasin B",1,1,0,"0.00153"
"5","GO:0051621","regulation of norepinephrine uptake",2,1,0,"0.00306"
"6","GO:0140021","mitochondrial ADP transmembrane transport",2,1,0,"0.00306"
"7","GO:0071929","alpha-tubulin acetylation",2,1,0,"0.00306"
"8","GO:1902268","negative regulation of polyamine transmembrane transport",2,1,0,"0.00306"
"9","GO:2000815","regulation of mRNA stability involved in response to oxidati...",2,1,0,"0.00306"
"10","GO:1990544","mitochondrial ATP transmembrane transport",2,1,0,"0.00306"
"11","GO:2000277","positive regulation of oxidative phosphorylation uncoupler a...",2,1,0,"0.00306"
"12","GO:1900126","negative regulation of hyaluronan biosynthetic process",3,1,0,"0.00458"
"13","GO:0000380","alternative mRNA splicing, via spliceosome",70,2,0.11,"0.00503"
"14","GO:0032091","negative regulation of protein binding",70,2,0.11,"0.00503"
"15","GO:0001738","morphogenesis of a polarized epithelium",73,2,0.11,"0.00546"
"16","GO:1902109","negative regulation of mitochondrial membrane permeability i...",4,1,0.01,"0.00610"
"17","GO:1900227","positive regulation of NLRP3 inflammasome complex assembly",4,1,0.01,"0.00610"
"18","GO:1902396","protein localization to bicellular tight junction",4,1,0.01,"0.00610"
"19","GO:0051343","positive regulation of cyclic-nucleotide phosphodiesterase a...",4,1,0.01,"0.00610"
"20","GO:1901526","positive regulation of mitophagy",5,1,0.01,"0.00763"
