"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098973","structural constituent of postsynaptic actin cytoskeleton",4,2,0.01,"1.6e-05"
"2","GO:0050998","nitric-oxide synthase binding",18,2,0.03,"0.0004"
"3","GO:0019799","tubulin N-acetyltransferase activity",1,1,0,"0.0017"
"4","GO:0043530","adenosine 5'-monophosphoramidase activity",2,1,0,"0.0033"
"5","GO:0008073","ornithine decarboxylase inhibitor activity",2,1,0,"0.0033"
"6","GO:0048306","calcium-dependent protein binding",56,2,0.09,"0.0038"
"7","GO:0031800","type 3 metabotropic glutamate receptor binding",3,1,0,"0.0050"
"8","GO:0004468","lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",4,1,0.01,"0.0066"
"9","GO:0003729","mRNA binding",260,3,0.43,"0.0087"
"10","GO:0030619","U1 snRNA binding",6,1,0.01,"0.0099"
"11","GO:0050733","RS domain binding",6,1,0.01,"0.0099"
"12","GO:0032051","clathrin light chain binding",6,1,0.01,"0.0099"
"13","GO:0030957","Tat protein binding",8,1,0.01,"0.0132"
"14","GO:1990405","protein antigen binding",8,1,0.01,"0.0132"
"15","GO:0030235","nitric-oxide synthase regulator activity",8,1,0.01,"0.0132"
"16","GO:1990446","U1 snRNP binding",8,1,0.01,"0.0132"
"17","GO:0019904","protein domain specific binding",627,5,1.04,"0.0147"
"18","GO:0003723","RNA binding",966,7,1.61,"0.0160"
"19","GO:0070990","snRNP binding",11,1,0.02,"0.0181"
"20","GO:0005198","structural molecule activity",392,5,0.65,"0.0189"
