"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0003735","structural constituent of ribosome",149,38,10.62,"2.5e-12"
"2","GO:0031625","ubiquitin protein ligase binding",280,38,19.96,"9.3e-05"
"3","GO:0001671","ATPase activator activity",24,8,1.71,"0.00017"
"4","GO:0004890","GABA-A receptor activity",15,6,1.07,"0.00037"
"5","GO:0031628","opioid receptor binding",8,4,0.57,"0.00142"
"6","GO:0016595","glutamate binding",13,5,0.93,"0.00145"
"7","GO:0005515","protein binding",7180,583,511.89,"0.00157"
"8","GO:0003729","mRNA binding",272,33,19.39,"0.00187"
"9","GO:0098632","cell-cell adhesion mediator activity",27,7,1.92,"0.00230"
"10","GO:0019843","rRNA binding",68,12,4.85,"0.00285"
"11","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential",44,9,3.14,"0.00336"
"12","GO:0043548","phosphatidylinositol 3-kinase binding",38,8,2.71,"0.00464"
"13","GO:0001639","PLC activating G protein-coupled glutamate receptor activity",2,2,0.14,"0.00508"
"14","GO:0004739","pyruvate dehydrogenase (acetyl-transferring) activity",2,2,0.14,"0.00508"
"15","GO:0004351","glutamate decarboxylase activity",2,2,0.14,"0.00508"
"16","GO:0048306","calcium-dependent protein binding",64,11,4.56,"0.00518"
"17","GO:0051117","ATPase binding",92,14,6.56,"0.00543"
"18","GO:0031386","protein tag",11,4,0.78,"0.00565"
"19","GO:0030165","PDZ domain binding",102,15,7.27,"0.00565"
"20","GO:0005158","insulin receptor binding",24,6,1.71,"0.00572"
