"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0000030","mannosyltransferase activity",1,0,0,"1"
"2","GO:0000049","tRNA binding",2,0,0,"1"
"3","GO:0000062","fatty-acyl-CoA binding",1,0,0,"1"
"4","GO:0000099","sulfur amino acid transmembrane transporter activity",1,0,0,"1"
"5","GO:0000149","SNARE binding",9,0,0,"1"
"6","GO:0000166","nucleotide binding",74,0,0,"1"
"7","GO:0000250","lanosterol synthase activity",1,0,0,"1"
"8","GO:0000287","magnesium ion binding",8,0,0,"1"
"9","GO:0000298","endopolyphosphatase activity",1,0,0,"1"
"10","GO:0000900","translation repressor activity, mRNA regulatory element bind...",1,0,0,"1"
"11","GO:0000976","transcription regulatory region sequence-specific DNA bindin...",19,0,0,"1"
"12","GO:0000977","RNA polymerase II transcription regulatory region sequence-s...",17,0,0,"1"
"13","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DN...",15,0,0,"1"
"14","GO:0000979","RNA polymerase II core promoter sequence-specific DNA bindin...",2,0,0,"1"
"15","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II...",13,0,0,"1"
"16","GO:0000987","cis-regulatory region sequence-specific DNA binding",15,0,0,"1"
"17","GO:0001018","mitochondrial promoter sequence-specific DNA binding",1,0,0,"1"
"18","GO:0001046","core promoter sequence-specific DNA binding",2,0,0,"1"
"19","GO:0001067","regulatory region nucleic acid binding",20,0,0,"1"
"20","GO:0001069","regulatory region RNA binding",1,0,0,"1"
