"","GO.ID","Term","Annotated","Significant","Expected","Fisher"
"1","GO:0098978","glutamatergic synapse",491,25,8.56,"1.6e-06"
"2","GO:0034703","cation channel complex",191,13,3.33,"3.1e-05"
"3","GO:0014069","postsynaptic density",384,22,6.69,"4.1e-05"
"4","GO:0098797","plasma membrane protein complex",445,18,7.76,"0.00082"
"5","GO:0097060","synaptic membrane",430,27,7.49,"0.00092"
"6","GO:0030425","dendrite",670,26,11.68,"0.00094"
"7","GO:0045211","postsynaptic membrane",303,18,5.28,"0.00112"
"8","GO:0035976","transcription factor AP-1 complex",4,2,0.07,"0.00177"
"9","GO:0098982","GABA-ergic synapse",101,7,1.76,"0.00192"
"10","GO:0044291","cell-cell contact zone",78,6,1.36,"0.00238"
"11","GO:0030426","growth cone",199,10,3.47,"0.00260"
"12","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",5,2,0.09,"0.00292"
"13","GO:0098793","presynapse",540,19,9.41,"0.00296"
"14","GO:0044327","dendritic spine head",17,3,0.3,"0.00297"
"15","GO:0098685","Schaffer collateral - CA1 synapse",110,7,1.92,"0.00312"
"16","GO:0097457","hippocampal mossy fiber",6,2,0.1,"0.00433"
"17","GO:0030315","T-tubule",62,5,1.08,"0.00446"
"18","GO:0098839","postsynaptic density membrane",94,6,1.64,"0.00599"
"19","GO:0120206","photoreceptor distal connecting cilium",7,2,0.12,"0.00600"
"20","GO:0099060","integral component of postsynaptic specialization membrane",96,6,1.67,"0.00663"
